rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.9838388169748,82.28046511627906,603013,亚普股份,bottom_area,2024-01-11,16.78,2024-01-10,16.34,2.6927784577723455,2.8763769889840813,28.175824175824175,False,1.5124,0.4017,1,1,1,100.0,53.30739299610896,53.30739299610896,12.307221542227653,2.6927784577723455,历史1/1次成功; 当前距低点2.69%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
12,80.12093757019733,74.92770385845795,002632,道明光学,bottom_area,2024-01-11,8.26,2024-01-11,7.95,3.899371069182385,4.276729559748415,31.876606683804624,False,2.7363,6.7144,1,1,1,100.0,25.259515570934255,25.259515570934255,11.100628930817615,3.899371069182385,历史1/1次成功; 当前距低点3.90%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
13,79.12569003009023,71.009071969697,603286,日盈电子,bottom_area,2024-01-11,23.49,2024-01-11,23.1,1.6883116883116753,2.1212121212121144,31.37254901960783,False,0.8587,2.683,2,3,2,66.66666666666666,15.97718253968253,16.874999999999986,13.311688311688325,1.6883116883116753,历史2/3次成功; 当前距低点1.69%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
14,78.88811198906868,74.88560548880497,002041,登海种业,bottom_area,2024-01-11,12.47,2024-01-10,11.91,4.701931150293874,4.701931150293874,29.484902309058615,False,2.297,0.5767,2,2,2,100.0,18.2043468358871,21.395106715252467,10.298068849706125,4.701931150293874,历史2/2次成功; 当前距低点4.70%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
15,78.28599643705687,73.32924600990641,002195,岩山科技,bottom_area,2024-01-11,2.87,2024-01-11,2.76,3.985507246376824,4.347826086956526,29.230769230769234,False,3.2374,1.8414,1,1,1,100.0,17.72151898734177,17.72151898734177,11.014492753623175,3.985507246376824,历史1/1次成功; 当前距低点3.99%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
16,77.81740664493039,72.86872628929659,301509,金凯生科,bottom_area,2024-01-11,61.55,2024-01-10,59.2,3.9695945945945845,6.418918918918914,29.69956062225388,False,3.7068,5.8181,1,1,1,100.0,15.05054819877544,15.05054819877544,11.030405405405414,3.9695945945945845,历史1/1次成功; 当前距低点3.97%; 最新日涨幅3.71%; 状态bottom_area; 底部未确认
17,74.4562647883781,68.59299164041255,002660,茂硕电源,bottom_area,2024-01-11,10.33,2024-01-10,10.02,3.093812375249506,3.9920159680638756,31.275720164609055,False,2.5819,8.9828,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,11.906187624750492,3.093812375249506,历史2/3次成功; 当前距低点3.09%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
18,72.53892596270035,68.0236714804133,605218,伟时电子,bottom_area,2024-01-11,21.34,2024-01-11,20.51,4.046806435884926,4.485616772306183,29.78432043820609,False,2.8434,4.4403,2,3,2,66.66666666666666,28.83722305142083,42.36874236874236,10.953193564115073,4.046806435884926,历史2/3次成功; 当前距低点4.05%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
19,72.51744548041536,66.77256942569949,688079,美迪凯,bottom_area,2024-01-11,10.42,2024-01-10,10.11,3.066271018793279,6.52818991097923,28.19602272727273,False,0.969,3.1002,2,4,2,50.0,29.53584595993638,30.064655172413808,11.93372898120672,3.066271018793279,历史2/4次成功; 当前距低点3.07%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
20,71.96419676388162,67.72575526669658,002862,实丰文化,bottom_area,2024-01-11,18.2,2024-01-11,17.46,4.238258877434125,5.0973654066437595,30.13205282112844,False,-6.1856,26.7368,1,1,1,100.0,23.381642512077295,23.381642512077295,10.761741122565875,4.238258877434125,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-6.19%; 状态bottom_area; 底部未确认
21,68.86004880602198,62.218846806308605,603039,泛微网络,bottom_area,2024-01-11,41.25,2024-01-10,40.42,2.053438891637799,4.057397328055419,28.320624224153217,False,0.5362,0.4614,1,2,1,50.0,25.971438060445035,25.971438060445035,12.9465611083622,2.053438891637799,历史1/2次成功; 当前距低点2.05%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
22,67.70789322237407,63.14331615120277,002146,荣盛发展,bottom_area,2024-01-11,1.66,2024-01-10,1.6,3.7499999999999893,4.37499999999999,27.927927927927932,False,1.8405,2.225,2,4,2,50.0,18.404925544100795,19.587628865979376,11.25000000000001,3.7499999999999893,历史2/4次成功; 当前距低点3.75%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
23,66.57855940032553,62.73303303864377,300454,深信服,bottom_area,2024-01-11,65.93,2024-01-10,63.21,4.303116595475409,5.995886726783736,30.52319191030996,False,3.8268,1.7616,2,4,2,50.0,22.979241270579003,29.49391262831224,10.69688340452459,4.303116595475409,历史2/4次成功; 当前距低点4.30%; 最新日涨幅3.83%; 状态bottom_area; 底部未确认
24,66.06226740963295,60.39617980907752,300451,创业慧康,bottom_area,2024-01-11,5.74,2024-01-10,5.59,2.683363148479434,3.577817531305907,29.773869346733672,False,1.773,1.8767,1,2,1,50.0,23.89380530973452,23.89380530973452,12.316636851520565,2.683363148479434,历史1/2次成功; 当前距低点2.68%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
25,65.90080826256587,60.054573972390415,688072,拓荆科技,bottom_area,2024-01-11,200.09,2024-01-10,195.19,2.5103745068907246,3.4889082432501675,27.643090154211148,False,1.1935,1.1125,1,2,1,50.0,19.9367088607595,19.9367088607595,12.489625493109275,2.5103745068907246,历史1/2次成功; 当前距低点2.51%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
26,64.48341062849295,59.6712158054711,601777,千里科技,bottom_area,2024-01-11,3.41,2024-01-08,3.3,3.333333333333343,3.9393939393939497,28.41648590021693,False,1.791,0.2528,1,2,1,50.0,27.96352583586626,27.96352583586626,11.666666666666655,3.333333333333343,历史1/2次成功; 当前距低点3.33%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
27,62.381804070573814,59.32112995896033,000058,深赛格,bottom_area,2024-01-11,7.21,2024-01-09,6.88,4.796511627906978,8.575581395348836,27.426160337552748,True,0.5579,1.7469,1,2,1,50.0,34.82352941176472,34.82352941176472,10.203488372093023,4.796511627906978,历史1/2次成功; 当前距低点4.80%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
28,61.75373787522334,57.4498896671914,603306,华懋科技,bottom_area,2024-01-11,23.48,2024-01-11,22.66,3.6187113857016784,3.6187113857016784,27.603833865814696,False,3.4361,1.8013,1,2,1,50.0,19.519094766619503,19.519094766619503,11.38128861429832,3.6187113857016784,历史1/2次成功; 当前距低点3.62%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
29,61.735022154539685,57.896392710817594,002284,亚太股份,bottom_area,2024-01-11,8.22,2024-01-10,7.9,4.050632911392409,5.69620253164556,30.457746478873233,False,3.1368,2.3172,1,2,1,50.0,27.214170692431566,27.214170692431566,10.949367088607591,4.050632911392409,历史1/2次成功; 当前距低点4.05%; 最新日涨幅3.14%; 状态bottom_area; 底部未确认
30,60.84679675870153,57.03525323950448,600986,浙文互联,bottom_area,2024-01-11,5.17,2024-01-10,4.97,4.024144869215295,4.426559356136834,30.489510489510497,False,3.1936,2.4191,1,2,1,50.0,22.25969645868466,22.25969645868466,10.975855130784703,4.024144869215295,历史1/2次成功; 当前距低点4.02%; 最新日涨幅3.19%; 状态bottom_area; 底部未确认
31,59.61413344668375,55.3452009250044,688111,金山办公,bottom_area,2024-01-11,256.7,2024-01-10,248.0,3.508064516129027,4.995967741935478,29.541451218819255,False,2.2302,0.7049,1,4,1,25.0,27.68058076225045,27.68058076225045,11.491935483870972,3.508064516129027,历史1/4次成功; 当前距低点3.51%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
32,58.42484278853945,55.56241600358521,301360,荣旗科技,bottom_area,2024-01-11,69.86,2024-01-11,66.66,4.800480048004805,6.705670567056704,32.489366011748025,False,1.3639,10.8322,1,2,1,50.0,23.857583403420236,23.857583403420236,10.199519951995196,4.800480048004805,历史1/2次成功; 当前距低点4.80%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
