rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.84721409280016,79.57213233341847,300355,蒙草生态,bottom_area,2024-12-27,5.44,2024-12-25,5.26,3.4220532319391754,7.604562737642592,29.58500669344043,False,0.7407,4.5256,2,2,2,100.0,27.711901624945106,33.201581027668,11.577946768060823,3.4220532319391754,历史2/2次成功; 当前距低点3.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
12,73.55665772588218,66.95253414911781,002693,双成药业,bottom_area,2024-12-27,18.0,2024-12-27,17.57,2.447353443369378,5.29311326124075,30.443388756927952,False,2.0987,4.9576,3,8,3,37.5,59.74209192291882,102.85714285714285,12.55264655663062,2.447353443369378,历史3/8次成功; 当前距低点2.45%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
13,72.28344988151657,65.1202251184834,000981,山子高科,bottom_area,2024-12-27,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,True,-0.9217,8.7984,2,4,2,50.0,19.583333333333325,22.499999999999993,13.104265402843598,1.8957345971564,历史2/4次成功; 当前距低点1.90%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
14,71.82728234554226,66.7680792322962,300380,安硕信息,bottom_area,2024-12-27,49.82,2024-12-26,48.1,3.5758835758835734,5.779625779625782,27.799459621735217,False,2.9339,8.9054,2,3,2,66.66666666666666,16.314124293785305,17.599999999999994,11.424116424116427,3.5758835758835734,历史2/3次成功; 当前距低点3.58%; 最新日涨幅2.93%; 状态bottom_area; 底部未确认
15,71.02943690565849,67.32519904647494,601011,宝泰隆,bottom_area,2024-12-27,2.49,2024-12-25,2.38,4.621848739495812,7.14285714285714,27.439024390243897,False,2.8926,2.8028,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,10.378151260504186,4.621848739495812,历史2/3次成功; 当前距低点4.62%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
16,70.74825121060019,66.6666694581157,300651,金陵体育,bottom_area,2024-12-27,13.32,2024-12-25,12.77,4.30696945967111,6.656225528582612,32.398094229751194,False,0.8327,5.9951,3,5,3,60.0,22.508386162181807,25.720461095100855,10.693030540328891,4.30696945967111,历史3/5次成功; 当前距低点4.31%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
17,70.74742520820115,67.36496494312445,000620,盈新发展,bottom_area,2024-12-27,2.37,2024-12-24,2.26,4.867256637168156,8.407079646017717,27.795527156549525,True,0.4237,1.7863,4,7,4,57.14285714285714,30.12762713600226,58.4192439862543,10.132743362831844,4.867256637168156,历史4/7次成功; 当前距低点4.87%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
18,70.44076325341867,66.74564594677173,603256,宏和科技,bottom_area,2024-12-27,8.86,2024-12-25,8.47,4.604486422668226,7.319952774498219,30.45977011494252,True,1.8391,0.9578,2,3,2,66.66666666666666,19.608646902089383,22.318339100346023,10.395513577331773,4.604486422668226,历史2/3次成功; 当前距低点4.60%; 最新日涨幅1.84%; 状态bottom_area; 底部已确认
19,69.0800603228155,64.02671236354405,002162,悦心健康,bottom_area,2024-12-27,3.63,2024-12-24,3.51,3.4188034188034218,7.122507122507122,30.21868787276343,True,1.6807,2.8468,1,2,1,50.0,43.23432343234324,43.23432343234324,11.581196581196577,3.4188034188034218,历史1/2次成功; 当前距低点3.42%; 最新日涨幅1.68%; 状态bottom_area; 底部已确认
20,68.28275284947135,62.18309490316764,000688,国城矿业,bottom_area,2024-12-27,12.84,2024-12-27,12.53,2.474062250598567,5.187549880287314,27.320185614849184,False,1.0228,0.9944,1,2,1,50.0,30.935251798561143,30.935251798561143,12.525937749401434,2.474062250598567,历史1/2次成功; 当前距低点2.47%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
21,65.40679384363686,62.17960159362549,002021,中捷资源,bottom_area,2024-12-27,2.63,2024-12-25,2.51,4.780876494023909,8.764940239043833,29.691876750700285,True,1.938,3.5617,1,2,1,50.0,50.76923076923077,50.76923076923077,10.219123505976091,4.780876494023909,历史1/2次成功; 当前距低点4.78%; 最新日涨幅1.94%; 状态bottom_area; 底部已确认
22,60.45292842730876,55.399103670102335,688196,卓越新能,bottom_area,2024-12-27,34.02,2024-12-27,33.09,2.810516772438802,5.167724388032619,30.860844128708724,False,1.0996,1.1022,1,4,1,25.0,19.41979522184301,19.41979522184301,12.189483227561198,2.810516772438802,历史1/4次成功; 当前距低点2.81%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
23,60.033926309610685,53.31741033611208,000681,视觉中国,bottom_area,2024-12-27,22.37,2024-12-27,22.12,1.1301989150090417,5.922242314647372,30.48397234443746,False,-2.1435,18.4674,1,5,1,20.0,20.93690248565965,20.93690248565965,13.869801084990957,1.1301989150090417,历史1/5次成功; 当前距低点1.13%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
24,58.90938326025204,54.25523084158337,002238,天威视讯,bottom_area,2024-12-27,8.37,2024-12-25,8.12,3.078817733990148,6.527093596059127,27.10951526032317,False,0.2395,1.4782,1,3,1,33.33333333333333,15.169902912621358,15.169902912621358,11.92118226600985,3.078817733990148,历史1/3次成功; 当前距低点3.08%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
25,57.664237578449004,54.859963491936114,002167,东方锆业,bottom_area,2024-12-27,7.61,2024-12-25,7.26,4.820936639118465,6.198347107438019,30.259365994236315,False,1.4667,3.2073,1,4,1,25.0,41.1650485436893,41.1650485436893,10.179063360881536,4.820936639118465,历史1/4次成功; 当前距低点4.82%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
26,57.24837651142312,54.53841928564348,002343,慈文传媒,bottom_area,2024-12-27,6.43,2024-12-25,6.13,4.893964110929851,6.851549755301793,27.7122641509434,False,1.1006,3.2564,1,4,1,25.0,40.33149171270718,40.33149171270718,10.10603588907015,4.893964110929851,历史1/4次成功; 当前距低点4.89%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
27,55.754713676110114,53.171386861607495,002370,亚太药业,bottom_area,2024-12-27,3.18,2024-12-25,3.03,4.950495049504963,8.25082508250825,28.70588235294118,False,2.5806,4.6355,2,6,2,33.33333333333333,15.619259360997129,15.633423180592995,10.049504950495036,4.950495049504963,历史2/6次成功; 当前距低点4.95%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
28,54.145490271527215,51.38992694728487,002374,中锐股份,bottom_area,2024-12-27,2.9,2024-12-26,2.77,4.693140794223822,6.498194945848382,32.1078431372549,False,2.1127,1.8548,1,4,1,25.0,20.94240837696336,20.94240837696336,10.306859205776178,4.693140794223822,历史1/4次成功; 当前距低点4.69%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
29,51.609536982704284,49.02704255980118,002115,三维通信,bottom_area,2024-12-27,7.29,2024-12-25,6.96,4.741379310344829,9.051724137931034,29.55465587044535,True,-0.4098,12.4239,1,3,1,33.33333333333333,20.720720720720706,20.720720720720706,10.25862068965517,4.741379310344829,历史1/3次成功; 当前距低点4.74%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
30,48.536072012704565,45.646362757492355,002369,卓翼科技,bottom_area,2024-12-27,7.44,2024-12-27,7.14,4.2016806722689175,8.683473389355745,28.6,False,-1.0638,20.6715,1,5,1,20.0,17.345132743362825,17.345132743362825,10.798319327731082,4.2016806722689175,历史1/5次成功; 当前距低点4.20%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
