rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.93938649599252,81.19073170731703,002687,乔治白,bottom_area,2024-06-26,4.23,2024-06-24,4.1,3.170731707317093,3.4146341463414775,29.914529914529915,False,1.1962,0.9942,1,1,1,100.0,64.00000000000001,64.00000000000001,16.829268292682908,3.170731707317093,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
12,81.29757092594369,73.66919499342987,000516,国际医学,bottom_area,2024-06-26,4.79,2024-06-25,4.58,4.5851528384279465,4.5851528384279465,28.100470957613815,False,3.0108,0.7313,1,1,1,100.0,26.89969604863221,26.89969604863221,15.414847161572053,4.5851528384279465,历史1/1次成功; 当前距低点4.59%; 最新日涨幅3.01%; 状态bottom_area; 底部未确认
13,80.33291254071281,72.7936841587902,605089,味知香,bottom_area,2024-06-26,22.13,2024-06-25,21.16,4.584120982986762,4.867674858223068,27.658119658119656,False,3.7992,0.289,1,1,1,100.0,22.180000000000007,22.180000000000007,15.41587901701324,4.584120982986762,历史1/1次成功; 当前距低点4.58%; 最新日涨幅3.80%; 状态bottom_area; 底部未确认
14,77.37400694760099,69.39344861618042,300763,锦浪科技,bottom_area,2024-06-26,44.52,2024-06-26,42.8,4.018691588785061,4.48598130841122,29.950900163666127,False,1.76,1.7875,2,3,2,66.66666666666666,35.856982644858604,36.020348268440614,15.98130841121494,4.018691588785061,历史2/3次成功; 当前距低点4.02%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
15,75.98080297371253,67.14000701848364,002761,浙江建投,bottom_area,2024-06-26,8.05,2024-06-26,7.8,3.205128205128217,3.205128205128217,32.173913043478265,False,1.6414,1.2912,3,6,3,50.0,33.213437237505204,43.73730534867976,16.794871794871785,3.205128205128217,历史3/6次成功; 当前距低点3.21%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
16,75.20532268987287,67.68879567506754,600416,湘电股份,bottom_area,2024-06-26,10.14,2024-06-26,9.73,4.2137718396711215,4.6248715313463435,27.496274217585686,False,2.9442,0.7826,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,15.78622816032888,4.2137718396711215,历史2/3次成功; 当前距低点4.21%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
17,73.38248079374593,63.953972367506886,000404,长虹华意,bottom_area,2024-06-26,5.44,2024-06-26,5.31,2.448210922787209,3.0131826741996264,28.724832214765105,False,1.4925,2.2295,1,2,1,50.0,40.139211136890964,40.139211136890964,17.551789077212792,2.448210922787209,历史1/2次成功; 当前距低点2.45%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
18,72.54998421671674,66.1251377751268,300393,中来股份,bottom_area,2024-06-26,5.99,2024-06-26,5.71,4.903677758318743,5.078809106830123,29.766297662976637,False,3.2759,1.4581,3,5,3,60.0,26.911414323083477,36.516853932584276,15.096322241681259,4.903677758318743,历史3/5次成功; 当前距低点4.90%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
19,72.16821053559785,64.81538343155876,000722,湖南发展,bottom_area,2024-06-26,9.15,2024-06-26,8.79,4.095563139931755,4.095563139931755,29.454253611556997,False,2.0067,1.8821,2,4,2,50.0,31.63046984195248,36.6412213740458,15.904436860068246,4.095563139931755,历史2/4次成功; 当前距低点4.10%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
20,68.79943999999999,61.870000000000005,000717,中南股份,bottom_area,2024-06-26,1.75,2024-06-24,1.68,4.1666666666666705,4.761904761904766,29.411764705882355,False,3.5503,0.8004,1,2,1,50.0,56.020942408376975,56.020942408376975,15.83333333333333,4.1666666666666705,历史1/2次成功; 当前距低点4.17%; 最新日涨幅3.55%; 状态bottom_area; 底部未确认
21,67.98845173020516,60.14230097130502,300653,正海生物,bottom_area,2024-06-26,20.88,2024-06-25,20.22,3.264094955489615,3.264094955489615,27.6824034334764,False,2.6549,0.4929,1,2,1,50.0,29.647513278609367,29.647513278609367,16.735905044510385,3.264094955489615,历史1/2次成功; 当前距低点3.26%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
22,65.73929790839658,59.17220883534136,000718,苏宁环球,bottom_area,2024-06-26,1.73,2024-06-24,1.66,4.216867469879522,4.81927710843374,32.24489795918368,False,1.7647,0.7784,1,2,1,50.0,36.111111111111114,36.111111111111114,15.783132530120481,4.216867469879522,历史1/2次成功; 当前距低点4.22%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
23,65.64578173011913,58.55435750425717,002810,山东赫达,bottom_area,2024-06-26,12.27,2024-06-25,11.83,3.7193575655114075,3.7193575655114075,29.792284866468847,False,2.25,1.0983,1,3,1,33.33333333333333,46.13526570048308,46.13526570048308,16.280642434488595,3.7193575655114075,历史1/3次成功; 当前距低点3.72%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
24,65.45907980763837,59.438978172244404,002838,道恩股份,bottom_area,2024-06-26,9.36,2024-06-26,8.94,4.697986577181208,4.921700223713661,28.934817170111295,False,3.4254,0.884,2,5,2,40.0,31.77627724848148,38.59649122807017,15.302013422818794,4.697986577181208,历史2/5次成功; 当前距低点4.70%; 最新日涨幅3.43%; 状态bottom_area; 底部未确认
25,64.65740595703042,58.47788296793826,603233,大参林,bottom_area,2024-06-26,15.16,2024-06-26,14.51,4.479669193659547,4.75534114403859,28.697788697788706,False,2.2252,0.8992,2,5,2,40.0,23.93295015850551,27.64192139737992,15.520330806340453,4.479669193659547,历史2/5次成功; 当前距低点4.48%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
26,63.456032023293574,56.17444844219168,000002,万科A,bottom_area,2024-06-26,7.19,2024-06-24,6.96,3.3045977011494316,4.454022988505741,29.838709677419356,False,1.1252,1.3809,1,3,1,33.33333333333333,28.255902513328245,28.255902513328245,16.69540229885057,3.3045977011494316,历史1/3次成功; 当前距低点3.30%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
27,63.13466104640907,57.62290492330985,002172,澳洋健康,bottom_area,2024-06-26,2.53,2024-06-24,2.41,4.979253112033181,4.979253112033181,27.627627627627625,False,3.2653,0.8695,2,5,2,40.0,25.46022590723384,29.824561403508774,15.020746887966821,4.979253112033181,历史2/5次成功; 当前距低点4.98%; 最新日涨幅3.27%; 状态bottom_area; 底部未确认
28,62.717317582016655,57.00042742276764,000688,国城矿业,bottom_area,2024-06-26,10.15,2024-06-26,9.69,4.747162022703828,5.779153766769872,31.032028469750895,False,2.8369,0.8888,1,2,1,50.0,30.935251798561143,30.935251798561143,15.252837977296174,4.747162022703828,历史1/2次成功; 当前距低点4.75%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
29,62.08666666666666,51.73888888888889,000889,中嘉博创,bottom_area,2024-06-26,1.48,2024-06-26,1.48,0.0,6.081081081081086,28.84615384615385,False,-5.1282,4.1439,2,6,2,33.33333333333333,32.019115890083626,34.408602150537625,20.0,0.0,历史2/6次成功; 当前距低点0.00%; 最新日涨幅-5.13%; 状态bottom_area; 底部未确认
30,62.00459316456128,55.737581511971456,603060,国检集团,bottom_area,2024-06-26,6.03,2024-06-26,5.79,4.145077720207258,4.145077720207258,27.71535580524344,False,3.6082,0.2338,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,15.854922279792744,4.145077720207258,历史1/3次成功; 当前距低点4.15%; 最新日涨幅3.61%; 状态bottom_area; 底部未确认
31,61.93889593575965,55.971407541226846,000524,岭南控股,bottom_area,2024-06-26,8.01,2024-06-24,7.67,4.432855280312905,4.693611473272482,28.116213683223997,False,1.7789,0.8792,1,2,1,50.0,21.550094517958406,21.550094517958406,15.567144719687095,4.432855280312905,历史1/2次成功; 当前距低点4.43%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
32,61.87601694681177,55.53372520976356,000705,浙江震元,bottom_area,2024-06-26,7.18,2024-06-24,6.9,4.057971014492744,4.202898550724639,29.01234567901235,False,2.5714,1.6803,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,15.942028985507257,4.057971014492744,历史1/3次成功; 当前距低点4.06%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
33,61.73074289713721,55.79674187687499,002612,朗姿股份,bottom_area,2024-06-26,14.33,2024-06-26,13.72,4.4460641399416865,4.810495626822158,28.01678908709338,False,2.577,1.2208,1,2,1,50.0,20.77294685990338,20.77294685990338,15.553935860058315,4.4460641399416865,历史1/2次成功; 当前距低点4.45%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
34,61.44786446399925,55.2784001603849,601388,怡球资源,bottom_area,2024-06-26,2.24,2024-06-26,2.15,4.1860465116279215,4.1860465116279215,27.609427609427616,False,2.2831,0.8183,1,4,1,25.0,35.632183908045974,35.632183908045974,15.813953488372078,4.1860465116279215,历史1/4次成功; 当前距低点4.19%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
35,61.32315538439387,54.73764331655481,605169,洪通燃气,bottom_area,2024-06-26,7.73,2024-06-25,7.45,3.7583892617449695,4.02684563758389,28.97998093422307,False,2.5199,1.472,1,3,1,33.33333333333333,26.09375,26.09375,16.24161073825503,3.7583892617449695,历史1/3次成功; 当前距低点3.76%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
36,60.73849394561712,54.99253055086666,000721,西安饮食,bottom_area,2024-06-26,6.91,2024-06-24,6.61,4.538577912254158,5.4462934947049835,28.15217391304347,False,0.8759,2.158,2,6,2,33.33333333333333,20.361047620821495,20.485175202156327,15.461422087745843,4.538577912254158,历史2/6次成功; 当前距低点4.54%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
37,59.48179022441986,53.3112917724587,000797,中国武夷,bottom_area,2024-06-26,2.35,2024-06-24,2.26,3.982300884955766,4.867256637168156,28.25396825396826,False,0.8584,1.1906,1,3,1,33.33333333333333,21.169916434540383,21.169916434540383,16.017699115044234,3.982300884955766,历史1/3次成功; 当前距低点3.98%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
38,59.249988251406435,53.71998934794184,002129,TCL中环,bottom_area,2024-06-26,8.84,2024-06-25,8.45,4.615384615384623,4.970414201183432,29.110738255033564,False,3.1505,1.6537,1,3,1,33.33333333333333,31.12759643916912,31.12759643916912,15.384615384615378,4.615384615384623,历史1/3次成功; 当前距低点4.62%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
39,59.08260542105864,53.28895448470312,002459,晶澳科技,bottom_area,2024-06-26,11.81,2024-06-26,11.32,4.32862190812721,4.9469964664310995,30.46683046683047,False,2.4284,1.6706,1,4,1,25.0,26.683937823834192,26.683937823834192,15.67137809187279,4.32862190812721,历史1/4次成功; 当前距低点4.33%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
40,58.96248722690716,52.958116738830576,688017,绿的谐波,bottom_area,2024-06-26,83.56,2024-06-26,80.27,4.098666998878793,4.33536813255264,28.85757334042365,False,1.8776,1.9135,1,4,1,25.0,22.08643815201191,22.08643815201191,15.901333001121209,4.098666998878793,历史1/4次成功; 当前距低点4.10%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
41,56.58448662378363,51.33673181593272,603326,我乐家居,bottom_area,2024-06-26,5.85,2024-06-24,5.59,4.651162790697671,5.72450805008945,31.24231242312424,False,1.2111,1.3129,1,4,1,25.0,20.141843971631218,20.141843971631218,15.34883720930233,4.651162790697671,历史1/4次成功; 当前距低点4.65%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
