rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.03918079953142,84.12275016604565,300349,金卡智能,bottom_area,2024-07-19,10.71,2024-07-18,10.55,1.5165876777251197,2.654028436018951,29.24211938296445,False,0.0935,0.8031,1,1,1,100.0,45.48693586698337,45.48693586698337,13.48341232227488,1.5165876777251197,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
16,84.34311707971085,76.4333660933661,603012,创力集团,bottom_area,2024-07-19,4.16,2024-07-09,4.07,2.2113022113022076,6.633906633906624,27.19141323792486,False,-0.4785,0.7804,1,1,1,100.0,35.13513513513512,35.13513513513512,12.788697788697792,2.2113022113022076,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
17,83.6408661062988,76.89833126361914,002367,康力电梯,bottom_area,2024-07-19,5.52,2024-07-18,5.36,2.9850746268656576,3.1716417910447747,30.208333333333325,False,0.7299,0.6038,1,1,1,100.0,24.646781789638936,24.646781789638936,12.014925373134341,2.9850746268656576,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
18,83.55200718558703,76.19555762988412,603187,海容冷链,bottom_area,2024-07-19,10.86,2024-07-18,10.59,2.549575070821526,3.3994334277620344,31.27839065541856,False,0.3697,1.0059,1,1,1,100.0,15.530047265361235,15.530047265361235,12.450424929178473,2.549575070821526,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
19,83.47037075566325,79.20372144481408,688151,华强科技,bottom_area,2024-07-19,11.63,2024-07-09,11.11,4.680468046804693,9.36093609360937,27.051871306631654,True,1.4834,0.6185,2,2,2,100.0,31.9633795243483,32.022471910112344,10.319531953195307,4.680468046804693,历史2/2次成功; 当前距低点4.68%; 最新日涨幅1.48%; 状态bottom_area; 底部已确认
20,82.23390227555586,78.49599762666695,605567,春雪食品,bottom_area,2024-07-19,7.56,2024-07-09,7.2,4.999999999999992,7.638888888888887,29.961089494163417,True,1.6129,2.1779,2,2,2,100.0,32.07525605734906,36.46616541353383,10.000000000000007,4.999999999999992,历史2/2次成功; 当前距低点5.00%; 最新日涨幅1.61%; 状态bottom_area; 底部已确认
21,81.97190827540061,74.12984059894004,600389,江山股份,bottom_area,2024-07-19,13.13,2024-07-18,12.86,2.0995334370140077,4.276827371695185,29.726775956284158,False,-0.5303,1.0277,1,1,1,100.0,21.380520620064356,21.380520620064356,12.90046656298599,2.0995334370140077,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
22,81.80883077280969,76.05456584978037,001308,康冠科技,bottom_area,2024-07-19,21.98,2024-07-09,21.22,3.5815268614514686,6.456173421300665,29.101236217841635,False,1.9008,1.9669,1,1,1,100.0,27.421758569299566,27.421758569299566,11.418473138548531,3.5815268614514686,历史1/1次成功; 当前距低点3.58%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
23,81.56924785624412,75.04530899433645,002386,天原股份,bottom_area,2024-07-19,3.75,2024-07-09,3.64,3.0219780219780183,9.340659340659336,27.920792079207917,True,-0.5305,0.2886,3,4,3,75.0,32.58289722820615,48.85290148448042,11.978021978021982,3.0219780219780183,历史3/4次成功; 当前距低点3.02%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
24,81.20547189627335,76.41853223589823,000789,万年青,bottom_area,2024-07-19,4.43,2024-07-09,4.25,4.235294117647053,7.2941176470588145,29.752066115702476,True,-1.5556,0.477,2,2,2,100.0,34.00539152759949,47.599999999999994,10.764705882352947,4.235294117647053,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
25,79.59837021897343,72.83839323139021,600970,中材国际,bottom_area,2024-07-19,10.15,2024-07-12,9.88,2.732793522267202,6.983805668016188,27.03101920236336,False,-1.0721,0.4332,1,1,1,100.0,22.19979818365287,22.19979818365287,12.267206477732797,2.732793522267202,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
26,79.50108070248503,73.5751333819618,603325,博隆技术,bottom_area,2024-07-19,60.98,2024-07-18,59.01,3.338417217420774,5.388917132689374,31.922011998154137,False,-0.3595,1.1789,1,1,1,100.0,33.584541062801925,33.584541062801925,11.661582782579224,3.338417217420774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
27,79.4581961265197,73.49666245987547,600256,广汇能源,bottom_area,2024-07-19,5.93,2024-07-10,5.74,3.310104529616716,8.013937282229964,30.843373493975907,True,-1.6584,0.5655,1,1,1,100.0,23.62204724409449,23.62204724409449,11.689895470383282,3.310104529616716,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
28,78.59105907883088,71.33272881828836,002346,柘中股份,bottom_area,2024-07-19,7.13,2024-07-18,6.97,2.295552367288381,3.012912482065997,29.381965552178315,False,0.9915,0.3058,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,12.704447632711618,2.295552367288381,历史2/3次成功; 当前距低点2.30%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
29,78.44619104022249,69.77318905420213,603113,金能科技,bottom_area,2024-07-19,5.02,2024-07-19,4.96,1.209677419354831,2.4193548387096793,31.491712707182323,False,-1.3752,0.9681,3,5,3,60.0,23.71641704479105,31.03448275862069,13.790322580645167,1.209677419354831,历史3/5次成功; 当前距低点1.21%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
30,76.580913487307,69.08479363473205,600955,维远股份,bottom_area,2024-07-19,13.99,2024-07-09,13.72,1.9679300291545156,7.069970845481041,28.911917098445596,True,-0.1428,0.1956,2,3,2,66.66666666666666,22.33874964805201,25.969084423305596,13.032069970845484,1.9679300291545156,历史2/3次成功; 当前距低点1.97%; 最新日涨幅-0.14%; 状态bottom_area; 底部已确认
31,74.96732058500822,71.27657833626527,002557,洽洽食品,bottom_area,2024-07-19,27.8,2024-07-09,26.53,4.787033546928004,5.767056162834518,31.001300390117038,False,0.6153,1.0197,1,1,1,100.0,16.510832383124292,16.510832383124292,10.212966453071996,4.787033546928004,历史1/1次成功; 当前距低点4.79%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
32,73.58468189618037,69.61670675300647,300568,星源材质,bottom_area,2024-07-19,7.86,2024-07-09,7.52,4.521276595744691,8.909574468085106,27.6923076923077,True,-0.2538,1.1252,1,1,1,100.0,17.608695652173925,17.608695652173925,10.478723404255309,4.521276595744691,历史1/1次成功; 当前距低点4.52%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
33,73.3679366144415,67.70961875499981,002044,美年健康,bottom_area,2024-07-19,3.56,2024-07-17,3.45,3.1884057971014457,4.057971014492744,29.447852760736186,False,1.1364,0.9466,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,11.811594202898554,3.1884057971014457,历史2/3次成功; 当前距低点3.19%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
34,73.33991245333662,66.75549657914767,601515,衢州东峰,bottom_area,2024-07-19,2.93,2024-07-18,2.86,2.4475524475524577,4.195804195804199,31.90476190476191,False,-1.3468,0.4524,2,3,2,66.66666666666666,24.888438133874246,34.48275862068966,12.552447552447543,2.4475524475524577,历史2/3次成功; 当前距低点2.45%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
35,71.56021076329327,63.9172727272727,600058,五矿发展,bottom_area,2024-07-19,6.36,2024-07-09,6.27,1.4354066985646052,5.263157894736844,28.91156462585035,False,-1.7002,0.3948,1,2,1,50.0,99.54954954954954,99.54954954954954,13.564593301435393,1.4354066985646052,历史1/2次成功; 当前距低点1.44%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
36,71.49710809523808,63.942428571428565,600287,苏豪时尚,bottom_area,2024-07-19,2.7,2024-07-16,2.66,1.5037593984962419,6.766917293233071,29.066666666666663,False,0.0,3.0611,1,2,1,50.0,28.499999999999993,28.499999999999993,13.496240601503755,1.5037593984962419,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
37,70.91172986201505,65.57101796407183,600186,莲花控股,bottom_area,2024-07-19,3.45,2024-06-24,3.34,3.293413173652705,8.083832335329342,27.074235807860266,True,0.2907,1.3709,1,2,1,50.0,53.49544072948328,53.49544072948328,11.706586826347296,3.293413173652705,历史1/2次成功; 当前距低点3.29%; 最新日涨幅0.29%; 状态bottom_area; 底部已确认
38,69.16569020092273,64.12360584120938,603229,奥翔药业,bottom_area,2024-07-19,7.23,2024-07-17,6.99,3.433476394849788,4.864091559370527,32.52895752895753,False,-0.2759,0.6508,2,4,2,50.0,42.26845172831669,43.052109181141425,11.566523605150211,3.433476394849788,历史2/4次成功; 当前距低点3.43%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
39,68.88608693684485,65.15233085722471,605337,李子园,bottom_area,2024-07-19,9.51,2024-07-09,9.1,4.505494505494507,8.35164835164835,31.00833965125095,True,-0.105,0.3406,2,3,2,66.66666666666666,32.30210571551354,37.98882681564246,10.494505494505493,4.505494505494507,历史2/3次成功; 当前距低点4.51%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
40,66.10587509435463,58.64257172560361,600141,兴发集团,bottom_area,2024-07-19,17.97,2024-07-19,17.78,1.068616422947119,2.0809898762654524,28.393072895690686,False,-1.2095,0.8239,1,3,1,33.33333333333333,36.58969804618119,36.58969804618119,13.93138357705288,1.068616422947119,历史1/3次成功; 当前距低点1.07%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
41,65.6088099771024,59.812195927352775,600293,三峡新材,bottom_area,2024-07-19,2.43,2024-07-09,2.37,2.531645569620255,8.438818565400833,27.300613496932506,True,-1.6194,0.4519,1,2,1,50.0,32.17391304347827,32.17391304347827,12.468354430379744,2.531645569620255,历史1/2次成功; 当前距低点2.53%; 最新日涨幅-1.62%; 状态bottom_area; 底部已确认
42,65.56961731435608,60.80399808245445,002833,弘亚数控,bottom_area,2024-07-19,16.51,2024-07-18,15.96,3.4461152882205552,3.759398496240588,28.940338379341053,False,0.7937,0.843,1,2,1,50.0,35.43624161073825,35.43624161073825,11.553884711779444,3.4461152882205552,历史1/2次成功; 当前距低点3.45%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
43,64.67259861545206,57.666354925202555,603128,华贸物流,bottom_area,2024-07-19,5.28,2024-07-18,5.21,1.3435700575815794,2.6871401151631416,28.038674033149174,False,-0.9381,0.9156,1,2,1,50.0,15.267175572519085,15.267175572519085,13.656429942418418,1.3435700575815794,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
44,63.006666313507786,56.22747963868695,000923,河钢资源,bottom_area,2024-07-19,15.34,2024-07-19,15.13,1.3879709187045544,2.1810971579643095,31.445400996828273,False,-2.2307,1.4805,1,3,1,33.33333333333333,27.519999999999996,27.519999999999996,13.612029081295447,1.3879709187045544,历史1/3次成功; 当前距低点1.39%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
45,59.7628858821585,55.11582507223085,603320,迪贝电气,bottom_area,2024-07-19,13.42,2024-07-18,13.01,3.1514219830899317,6.072252113758654,28.516483516483515,False,-0.9594,4.352,1,2,1,50.0,23.71541501976285,23.71541501976285,11.848578016910068,3.1514219830899317,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
46,59.63661620068904,52.904578558696215,002043,兔宝宝,bottom_area,2024-07-19,9.45,2024-07-11,9.35,1.0695187165775364,5.775401069518726,28.076923076923077,False,-3.9634,1.862,1,3,1,33.33333333333333,15.96638655462185,15.96638655462185,13.930481283422463,1.0695187165775364,历史1/3次成功; 当前距低点1.07%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
47,59.04098384730732,54.78429277997805,603060,国检集团,bottom_area,2024-07-19,5.65,2024-07-09,5.46,3.479853479853487,9.157509157509157,31.835205992509362,True,-0.1767,0.1397,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,11.520146520146513,3.479853479853487,历史1/3次成功; 当前距低点3.48%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
48,57.33441326588723,54.31478801169591,000705,浙江震元,bottom_area,2024-07-19,7.06,2024-07-09,6.75,4.592592592592587,6.518518518518525,30.555555555555557,False,0.5698,1.0246,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,10.407407407407412,4.592592592592587,历史1/3次成功; 当前距低点4.59%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
