rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.8304741129678,83.97124697018337,603260,合盛硅业,bottom_area,2023-10-25,54.32,2023-10-23,53.12,2.2590361445783187,4.160391566265062,28.69798657718121,False,0.129,0.1861,3,3,3,100.0,20.440050429150247,34.21399022188793,5.740963855421681,2.2590361445783187,历史3/3次成功; 当前距低点2.26%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
15,78.26504588030556,76.97434014475827,001322,箭牌家居,bottom_area,2023-10-25,12.5,2023-10-23,12.12,3.135313531353142,4.785478547854787,30.74285714285715,False,0.4823,3.4189,1,1,1,100.0,26.897069872276486,26.897069872276486,4.864686468646858,3.135313531353142,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
16,78.19505518763393,78.72282114189841,688103,国力电子,bottom_area,2023-10-25,46.3,2023-10-24,44.37,4.349785891368041,5.25129592066713,31.738461538461543,False,0.7398,1.8481,2,2,2,100.0,34.51791921622336,57.609964966913196,3.6502141086319586,4.349785891368041,历史2/2次成功; 当前距低点4.35%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
17,78.14180255255258,77.93117774782871,601155,新城控股,bottom_area,2023-10-25,11.84,2023-10-20,11.4,3.8596491228070127,4.8245614035087625,27.06333973128599,False,0.6803,0.6211,2,2,2,100.0,24.2536438055306,24.642857142857142,4.140350877192987,3.8596491228070127,历史2/2次成功; 当前距低点3.86%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
18,77.71469826555452,76.72470210930543,603191,望变电气,bottom_area,2023-10-25,14.88,2023-10-23,14.4,3.333333333333336,4.861111111111106,31.656383483626012,False,0.1346,1.5935,2,2,2,100.0,11.315602738201239,13.281249999999995,4.666666666666664,3.333333333333336,历史2/2次成功; 当前距低点3.33%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
19,77.68741329941832,77.56268937680237,600328,中盐化工,bottom_area,2023-10-25,7.96,2023-10-23,7.66,3.9164490861618773,4.830287206266308,27.73584905660377,False,1.6603,0.6673,2,2,2,100.0,22.968781146513187,37.26315789473683,4.083550913838123,3.9164490861618773,历史2/2次成功; 当前距低点3.92%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
20,77.29736033612694,76.74349802126598,300713,英可瑞,bottom_area,2023-10-25,18.29,2023-10-24,17.65,3.626062322946179,4.759206798866855,27.066115702479344,False,1.442,6.5904,2,2,2,100.0,15.004946868727224,19.819819819819813,4.373937677053822,3.626062322946179,历史2/2次成功; 当前距低点3.63%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
21,76.12751140748803,74.40293995165497,002049,紫光国微,bottom_area,2023-10-25,72.48,2023-10-24,70.5,2.8085106382978777,4.581560283687948,27.003520397597846,False,0.9752,1.4155,1,1,1,100.0,9.066366704161965,9.066366704161965,5.191489361702123,2.8085106382978777,历史1/1次成功; 当前距低点2.81%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
22,76.0086267382944,75.21719735485294,300353,东土科技,bottom_area,2023-10-25,9.58,2023-10-24,9.26,3.4557235421166337,7.235421166306695,27.372549019607845,False,0.6303,2.9963,1,1,1,100.0,21.377672209026137,21.377672209026137,4.544276457883367,3.4557235421166337,历史1/1次成功; 当前距低点3.46%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
23,75.42355933920929,72.62651739852254,301371,敷尔佳,bottom_area,2023-10-25,40.61,2023-10-23,39.8,2.035175879396991,4.773869346733683,27.252787424602452,False,-1.7421,5.1068,1,1,1,100.0,12.50923872875093,12.50923872875093,5.9648241206030095,2.035175879396991,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
24,75.33814781329042,75.39670836347562,002314,南山控股,bottom_area,2023-10-25,3.09,2023-10-19,2.97,4.040404040404029,4.713804713804703,28.087167070217912,False,0.6515,1.2077,2,2,2,100.0,12.843169761273208,13.750000000000004,3.9595959595959713,4.040404040404029,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
25,74.97186035354221,75.23881648903468,603025,大豪科技,bottom_area,2023-10-25,11.95,2023-10-23,11.47,4.184829991281592,5.056669572798605,32.96317942723553,False,1.7021,0.5039,2,2,2,100.0,13.76467133955222,13.87573964497043,3.8151700087184084,4.184829991281592,历史2/2次成功; 当前距低点4.18%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
26,74.14075400037424,72.75266959307542,000560,我爱我家,bottom_area,2023-10-25,2.39,2023-10-23,2.32,3.0172413793103576,5.603448275862084,32.55813953488372,False,-0.8299,2.3314,2,2,2,100.0,8.559031924209851,8.679245283018867,4.982758620689642,3.0172413793103576,历史2/2次成功; 当前距低点3.02%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
27,74.03410116296743,74.81477709790208,600004,白云机场,bottom_area,2023-10-25,10.58,2023-10-23,10.12,4.545454545454554,4.940711462450594,31.38983050847458,False,2.1236,0.5331,1,1,1,100.0,32.57211538461537,32.57211538461537,3.454545454545446,4.545454545454554,历史1/1次成功; 当前距低点4.55%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
28,73.79239378273014,68.83858197390241,300750,宁德时代,bottom_area,2023-10-25,175.98,2023-10-24,175.3,0.38790644609240066,2.395892755276662,28.143958025905885,False,-0.2494,0.5531,1,1,1,100.0,11.790369198887497,11.790369198887497,7.6120935539076,0.38790644609240066,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
29,73.35052941262835,73.55883762537275,000966,长源电力,bottom_area,2023-10-25,4.52,2023-10-24,4.34,4.1474654377880125,4.60829493087558,27.424749163879607,False,1.8018,0.8975,1,1,1,100.0,20.94117647058823,20.94117647058823,3.852534562211988,4.1474654377880125,历史1/1次成功; 当前距低点4.15%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
30,73.27141821302357,68.30565242493886,300418,昆仑万维,bottom_area,2023-10-25,28.49,2023-10-23,28.39,0.3522367030644518,6.868615709756954,29.29016189290162,False,-2.864,5.2354,1,1,1,100.0,8.487914558740876,8.487914558740876,7.6477632969355485,0.3522367030644518,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
31,72.33671248189444,72.16735974436101,000014,沙河股份,bottom_area,2023-10-25,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,-0.266,2.0618,2,2,2,100.0,15.964865631822029,20.605355064027936,4.121883656509697,3.8781163434903037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
32,71.95404478041793,72.50122382817776,300486,东杰智能,bottom_area,2023-10-25,6.89,2023-10-24,6.6,4.3939393939393945,5.757575757575769,30.453108535300323,False,2.3774,2.3232,1,1,1,100.0,18.276374442793454,18.276374442793454,3.6060606060606055,4.3939393939393945,历史1/1次成功; 当前距低点4.39%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
33,71.92569059937253,72.55688912308725,600032,浙江新能,bottom_area,2023-10-25,9.38,2023-10-24,8.98,4.454342984409803,5.679287305122492,32.784431137724546,False,1.1866,1.431,1,1,1,100.0,19.31608133086876,19.31608133086876,3.545657015590197,4.454342984409803,历史1/1次成功; 当前距低点4.45%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
34,71.60114707871573,71.87706672063756,002366,融发核电,bottom_area,2023-10-25,5.21,2023-10-23,5.0,4.199999999999999,5.0,28.469241773962807,False,2.1569,0.9693,3,4,3,75.0,16.710036132459983,25.0,3.8000000000000007,4.199999999999999,历史3/4次成功; 当前距低点4.20%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
35,71.07851963794624,69.82787119856889,002828,贝肯能源,bottom_area,2023-10-25,11.39,2023-10-24,11.05,3.0769230769230753,5.429864253393662,27.206851119894594,False,-0.1753,15.0969,1,1,1,100.0,10.232558139534893,10.232558139534893,4.923076923076924,3.0769230769230753,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
36,70.98971161490707,71.57199222965681,000729,燕京啤酒,bottom_area,2023-10-25,9.44,2023-10-24,9.04,4.424778761061951,4.977876106194703,32.28464419475656,False,2.2752,0.4175,1,1,1,100.0,13.658536585365852,13.658536585365852,3.5752212389380493,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
37,70.95277076465887,71.28760649212185,000721,西安饮食,confirmed_rebound,2023-10-25,10.56,2023-10-23,10.13,4.244817374136226,8.588351431391898,30.521262002743477,True,1.3436,5.207,3,4,3,75.0,15.111774758884062,20.485175202156327,3.755182625863774,4.244817374136226,历史3/4次成功; 当前距低点4.24%; 最新日涨幅1.34%; 状态confirmed_rebound; 底部已确认
38,70.42696450338272,71.57749420233951,000006,深振业A,bottom_area,2023-10-25,4.33,2023-10-23,4.13,4.842615012106542,6.053268765133172,32.295081967213115,False,1.4052,1.3591,1,1,1,100.0,18.809980806142043,18.809980806142043,3.1573849878934586,4.842615012106542,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
39,69.8851202468897,70.88864676905243,600103,青山纸业,bottom_area,2023-10-25,2.43,2023-10-23,2.32,4.741379310344842,6.034482758620696,29.6969696969697,False,1.25,1.1314,1,1,1,100.0,13.865546218487399,13.865546218487399,3.2586206896551584,4.741379310344842,历史1/1次成功; 当前距低点4.74%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
40,68.91080019163529,69.99697671864705,002853,皮阿诺,bottom_area,2023-10-25,14.59,2023-10-23,13.92,4.813218390804598,5.890804597701151,30.050251256281403,False,0.3439,0.9005,1,1,1,100.0,9.952229299363056,9.952229299363056,3.186781609195403,4.813218390804598,历史1/1次成功; 当前距低点4.81%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
41,68.60353439803733,69.73518002405038,002135,东南网架,bottom_area,2023-10-25,5.62,2023-10-23,5.36,4.850746268656712,6.156716417910449,27.074829931972783,False,3.1193,1.6366,1,1,1,100.0,9.004739336492895,9.004739336492895,3.1492537313432885,4.850746268656712,历史1/1次成功; 当前距低点4.85%; 最新日涨幅3.12%; 状态bottom_area; 底部未确认
42,64.5218244865316,65.35436415732555,002068,黑猫股份,bottom_area,2023-10-25,9.42,2023-10-23,9.0,4.666666666666666,7.888888888888898,27.594529364440866,True,0.7487,1.735,2,3,2,66.66666666666666,12.89084672397248,15.184678522571824,3.333333333333334,4.666666666666666,历史2/3次成功; 当前距低点4.67%; 最新日涨幅0.75%; 状态bottom_area; 底部已确认
