rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.27940946562171,87.18696657370432,002685,华东重机,bottom_area,2024-08-19,2.89,2024-08-19,2.86,1.0489510489510576,2.0979020979020997,27.41116751269036,False,-1.7007,4.0419,3,3,3,100.0,45.36868260920823,109.52380952380952,6.951048951048942,1.0489510489510576,历史3/3次成功; 当前距低点1.05%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
15,79.18257635334172,75.60777288910194,002355,兴民智通,confirmed_rebound,2024-08-19,4.45,2024-08-12,4.38,1.5981735159817416,8.447488584474888,28.8961038961039,True,-1.766,2.7806,4,5,4,80.0,17.535529599679155,21.138211382113823,6.401826484018258,1.5981735159817416,历史4/5次成功; 当前距低点1.60%; 最新日涨幅-1.77%; 状态confirmed_rebound; 底部已确认
16,78.92179557876882,73.66689070824718,002563,森马服饰,bottom_area,2024-08-19,4.8,2024-07-30,4.78,0.41841004184099523,7.531380753138063,29.080118694362017,True,-0.8264,0.8144,1,1,1,100.0,28.929384965831446,28.929384965831446,7.581589958159005,0.41841004184099523,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-0.83%; 状态bottom_area; 底部已确认
17,78.71958295614537,74.54832412641314,002651,利君股份,bottom_area,2024-08-19,5.19,2024-08-19,5.13,1.1695906432748635,2.1442495126705716,29.338842975206607,False,0.0,2.4438,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,6.830409356725137,1.1695906432748635,历史2/3次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,77.72954827926159,76.10651512179814,001218,丽臣实业,bottom_area,2024-08-19,14.18,2024-07-25,13.78,2.902757619738755,6.603773584905662,30.404040404040412,False,-0.2111,0.5714,2,2,2,100.0,25.18711018711019,29.999999999999993,5.097242380261245,2.902757619738755,历史2/2次成功; 当前距低点2.90%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
19,77.67687712663786,72.22151783921238,000421,南京公用,bottom_area,2024-08-19,4.66,2024-08-19,4.65,0.2150537634408556,2.7956989247311803,29.007633587786252,False,-2.714,4.5218,5,6,5,83.33333333333334,13.970468207119307,30.864197530864196,7.784946236559144,0.2150537634408556,历史5/6次成功; 当前距低点0.22%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
20,76.76503378277606,73.59211839300221,301507,民生健康,bottom_area,2024-08-19,12.97,2024-08-19,12.74,1.805337519623237,2.9827315541601176,32.91205897840968,False,-0.2308,10.5652,1,1,1,100.0,14.883268482490283,14.883268482490283,6.1946624803767625,1.805337519623237,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
21,76.40702326485346,76.0590821359748,002346,柘中股份,confirmed_rebound,2024-08-19,7.17,2024-07-25,6.91,3.7626628075253223,8.248914616497833,29.989868287740624,True,-0.1393,0.4314,3,3,3,100.0,19.827706113615825,34.89010989010989,4.237337192474678,3.7626628075253223,历史3/3次成功; 当前距低点3.76%; 最新日涨幅-0.14%; 状态confirmed_rebound; 底部已确认
22,75.66669913140943,72.54299005159223,002293,罗莱生活,bottom_area,2024-08-19,7.32,2024-07-30,7.19,1.8080667593880373,5.146036161335177,29.78515625,False,-0.2725,0.0755,1,1,1,100.0,9.27624872579001,9.27624872579001,6.191933240611963,1.8080667593880373,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
23,75.59176721332126,70.62950678356275,603010,万盛股份,bottom_area,2024-08-19,8.54,2024-07-18,8.5,0.47058823529410765,7.5294117647058885,27.78249787595582,True,-0.5821,0.18,1,1,1,100.0,13.238967527060783,13.238967527060783,7.529411764705893,0.47058823529410765,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-0.58%; 状态bottom_area; 底部已确认
24,75.15110534647702,69.63240655401945,301606,绿联科技,bottom_area,2024-08-19,27.91,2024-08-19,27.9,0.03584229390681564,2.6881720430107525,32.754880694143175,False,-3.6922,15.0378,1,1,1,100.0,21.957671957671955,21.957671957671955,7.964157706093185,0.03584229390681564,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
25,75.14176054807064,70.19016355543285,000539,粤电力A,bottom_area,2024-08-19,4.4,2024-08-19,4.38,0.4566210045662206,1.3698630136986416,27.242524916943516,False,-0.2268,0.386,1,1,1,100.0,19.89924433249369,19.89924433249369,7.543378995433779,0.4566210045662206,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
26,74.75368605406285,73.49254509889154,002539,云图控股,confirmed_rebound,2024-08-19,6.62,2024-07-24,6.42,3.1152647975077907,8.566978193146415,29.682365826944146,True,0.303,0.6454,1,1,1,100.0,8.953488372093018,8.953488372093018,4.88473520249221,3.1152647975077907,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.30%; 状态confirmed_rebound; 底部已确认
27,74.66345148717325,74.74110458284373,000629,钒钛股份,confirmed_rebound,2024-08-19,2.31,2024-07-25,2.22,4.054054054054047,10.360360360360358,32.72727272727272,True,0.4348,0.3832,1,1,1,100.0,27.173913043478265,27.173913043478265,3.9459459459459527,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.43%; 状态confirmed_rebound; 底部已确认
28,74.61147296911848,75.31378557075993,600210,紫江企业,confirmed_rebound,2024-08-19,4.89,2024-07-25,4.68,4.487179487179486,9.61538461538462,27.329192546583858,True,0.4107,0.5118,2,2,2,100.0,18.895455922199744,19.867549668874158,3.5128205128205137,4.487179487179486,历史2/2次成功; 当前距低点4.49%; 最新日涨幅0.41%; 状态confirmed_rebound; 底部已确认
29,74.36530314297883,69.09396333754741,002311,海大集团,bottom_area,2024-08-19,39.27,2024-08-19,39.2,0.17857142857142927,3.03571428571428,28.126145947928123,False,-1.7021,0.3409,1,1,1,100.0,10.59734513274336,10.59734513274336,7.821428571428571,0.17857142857142927,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
30,74.1379339795846,69.51591581645786,000028,国药一致,bottom_area,2024-08-19,27.71,2024-08-19,27.53,0.6538321830730102,2.6516527424627694,28.93649974186887,False,-4.3163,1.7532,2,2,2,100.0,12.240070934754426,14.150943396226415,7.34616781692699,0.6538321830730102,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
31,74.038316001406,71.79269232787115,000726,鲁泰A,bottom_area,2024-08-19,5.55,2024-07-30,5.42,2.3985239852398506,4.797047970479701,28.211920529801326,False,-0.1799,0.4985,1,1,1,100.0,12.480252764612954,12.480252764612954,5.6014760147601494,2.3985239852398506,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
32,72.35560729971809,72.56071442293263,002768,国恩股份,bottom_area,2024-08-19,17.83,2024-07-25,17.12,4.147196261682227,7.827102803738316,27.549724925941593,True,-0.0561,0.534,2,2,2,100.0,12.184526341764123,13.681691264459511,3.8528037383177733,4.147196261682227,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-0.06%; 状态bottom_area; 底部已确认
33,72.11031658681038,70.50976436001555,000090,天健集团,confirmed_rebound,2024-08-19,3.63,2024-07-25,3.53,2.8328611898017027,9.915014164305951,28.973843058350102,True,-0.5479,0.6079,1,1,1,100.0,11.928429423459237,11.928429423459237,5.167138810198297,2.8328611898017027,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部已确认
34,71.75116987847716,67.41693320590423,002372,伟星新材,bottom_area,2024-08-19,13.24,2024-08-19,13.14,0.7610350076103474,2.3592085235920752,30.291777188328915,False,-0.1508,0.3969,1,1,1,100.0,8.720930232558127,8.720930232558127,7.238964992389653,0.7610350076103474,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
35,71.39933803012372,70.15907277360162,002316,亚联发展,confirmed_rebound,2024-08-19,2.67,2024-08-13,2.59,3.0888030888030915,8.880308880308881,27.247191011235962,True,-0.3731,3.9555,6,8,6,75.0,17.34700976383158,24.890829694323134,4.9111969111969085,3.0888030888030915,历史6/8次成功; 当前距低点3.09%; 最新日涨幅-0.37%; 状态confirmed_rebound; 底部已确认
36,71.10731669730778,67.765690515807,600058,五矿发展,confirmed_rebound,2024-08-19,6.1,2024-07-25,6.01,1.4975041597337746,8.153078202995012,31.85941043083901,True,0.3289,0.3312,1,2,1,50.0,99.54954954954954,99.54954954954954,6.502495840266226,1.4975041597337746,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.33%; 状态confirmed_rebound; 底部已确认
37,57.17185787464718,57.88382897099037,002833,弘亚数控,confirmed_rebound,2024-08-19,16.0,2024-07-30,15.29,4.6435578809679585,9.875735775016361,31.923419412288517,True,0.1879,0.4982,1,2,1,50.0,35.43624161073825,35.43624161073825,3.3564421190320415,4.6435578809679585,历史1/2次成功; 当前距低点4.64%; 最新日涨幅0.19%; 状态confirmed_rebound; 底部已确认
