rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
42,73.98307841890846,70.6901964537345,002706,良信股份,bottom_area,2024-07-19,6.29,2024-07-18,6.13,2.610114192495924,3.4257748776508965,30.734463276836156,False,-0.317,0.888,3,4,3,75.0,13.31320867002797,14.727153188691638,7.3898858075040765,2.610114192495924,历史3/4次成功; 当前距低点2.61%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
43,71.56629967986233,71.27657833626527,002557,洽洽食品,bottom_area,2024-07-19,27.8,2024-07-09,26.53,4.787033546928004,5.767056162834518,31.001300390117038,False,0.6153,1.0197,1,1,1,100.0,16.510832383124292,16.510832383124292,5.212966453071996,4.787033546928004,历史1/1次成功; 当前距低点4.79%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
44,71.49901273030866,69.4103589777789,600131,国网信通,bottom_area,2024-07-19,15.32,2024-07-18,14.81,3.4436191762322736,5.131667792032409,28.280871670702172,False,-1.3522,0.6617,1,1,1,100.0,12.482853223593954,12.482853223593954,6.556380823767727,3.4436191762322736,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
45,71.34759840986901,66.19880264833206,002043,兔宝宝,bottom_area,2024-07-19,9.45,2024-07-11,9.35,1.0695187165775364,5.775401069518726,28.076923076923077,False,-3.9634,1.862,2,3,2,66.66666666666666,15.218487394957986,15.96638655462185,8.930481283422465,1.0695187165775364,历史2/3次成功; 当前距低点1.07%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
46,71.30906295379312,70.95985108820159,002320,海峡股份,bottom_area,2024-07-19,5.08,2024-07-09,4.85,4.742268041237122,5.567010309278361,27.28635682158921,False,0.0,0.4587,1,1,1,100.0,14.259259259259249,14.259259259259249,5.257731958762879,4.742268041237122,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
47,70.25441704387369,69.61670675300647,300568,星源材质,bottom_area,2024-07-19,7.86,2024-07-09,7.52,4.521276595744691,8.909574468085106,27.6923076923077,True,-0.2538,1.1252,1,1,1,100.0,17.608695652173925,17.608695652173925,5.478723404255309,4.521276595744691,历史1/1次成功; 当前距低点4.52%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
48,70.08706323375684,67.70961875499981,002044,美年健康,bottom_area,2024-07-19,3.56,2024-07-17,3.45,3.1884057971014457,4.057971014492744,29.447852760736186,False,1.1364,0.9466,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,6.811594202898555,3.1884057971014457,历史2/3次成功; 当前距低点3.19%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
49,69.52328252712232,68.22756613756614,002060,广东建工,bottom_area,2024-07-19,3.37,2024-07-09,3.24,4.012345679012342,6.48148148148148,27.67857142857143,False,-0.2959,0.492,1,1,1,100.0,13.095238095238093,13.095238095238093,5.987654320987659,4.012345679012342,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
50,68.40957161234988,63.9172727272727,600058,五矿发展,bottom_area,2024-07-19,6.36,2024-07-09,6.27,1.4354066985646052,5.263157894736844,28.91156462585035,False,-1.7002,0.3948,1,2,1,50.0,99.54954954954954,99.54954954954954,8.564593301435396,1.4354066985646052,历史1/2次成功; 当前距低点1.44%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
51,67.90797078567469,65.96974465939857,603060,国检集团,bottom_area,2024-07-19,5.65,2024-07-09,5.46,3.479853479853487,9.157509157509157,31.835205992509362,True,-0.1767,0.1397,2,3,2,66.66666666666666,24.124429713966915,36.2098138747885,6.520146520146514,3.479853479853487,历史2/3次成功; 当前距低点3.48%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
52,67.73771247071072,65.57101796407183,600186,莲花控股,bottom_area,2024-07-19,3.45,2024-06-24,3.34,3.293413173652705,8.083832335329342,27.074235807860266,True,0.2907,1.3709,1,2,1,50.0,53.49544072948328,53.49544072948328,6.706586826347297,3.293413173652705,历史1/2次成功; 当前距低点3.29%; 最新日涨幅0.29%; 状态bottom_area; 底部已确认
53,66.29701300507479,65.78452731072775,000705,浙江震元,bottom_area,2024-07-19,7.06,2024-07-09,6.75,4.592592592592587,6.518518518518525,30.555555555555557,False,0.5698,1.0246,2,3,2,66.66666666666666,23.48909545791496,34.04605263157895,5.407407407407414,4.592592592592587,历史2/3次成功; 当前距低点4.59%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
54,62.69204239792903,59.812195927352775,600293,三峡新材,bottom_area,2024-07-19,2.43,2024-07-09,2.37,2.531645569620255,8.438818565400833,27.300613496932506,True,-1.6194,0.4519,1,2,1,50.0,32.17391304347827,32.17391304347827,7.468354430379745,2.531645569620255,历史1/2次成功; 当前距低点2.53%; 最新日涨幅-1.62%; 状态bottom_area; 底部已确认
55,62.63069602605816,60.80399808245445,002833,弘亚数控,bottom_area,2024-07-19,16.51,2024-07-18,15.96,3.4461152882205552,3.759398496240588,28.940338379341053,False,0.7937,0.843,1,2,1,50.0,35.43624161073825,35.43624161073825,6.553884711779445,3.4461152882205552,历史1/2次成功; 当前距低点3.45%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
56,61.82750667264614,57.666354925202555,603128,华贸物流,bottom_area,2024-07-19,5.28,2024-07-18,5.21,1.3435700575815794,2.6871401151631416,28.038674033149174,False,-0.9381,0.9156,1,2,1,50.0,15.267175572519085,15.267175572519085,8.656429942418422,1.3435700575815794,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
57,60.30546695804313,57.8417680030499,603090,宏盛股份,bottom_area,2024-07-19,15.73,2024-07-18,15.3,2.8104575163398673,4.509803921568624,28.37078651685393,False,0.7687,1.1644,1,2,1,50.0,11.718339464004206,11.718339464004206,7.189542483660133,2.8104575163398673,历史1/2次成功; 当前距低点2.81%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
58,58.557397787677225,55.615136402387044,002605,姚记科技,bottom_area,2024-07-19,17.39,2024-07-18,17.0,2.294117647058827,2.941176470588235,27.257167308515196,False,1.1047,1.5546,1,3,1,33.33333333333333,12.862318840579725,12.862318840579725,7.705882352941174,2.294117647058827,历史1/3次成功; 当前距低点2.29%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
59,57.493015719385944,55.91113957530416,601636,旗滨集团,bottom_area,2024-07-19,6.15,2024-07-16,5.94,3.5353535353535346,3.5353535353535346,30.60747663551402,False,0.6547,0.9609,1,2,1,50.0,10.224438902743147,10.224438902743147,6.464646464646466,3.5353535353535346,历史1/2次成功; 当前距低点3.54%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
60,57.09128795298667,55.11582507223085,603320,迪贝电气,bottom_area,2024-07-19,13.42,2024-07-18,13.01,3.1514219830899317,6.072252113758654,28.516483516483515,False,-0.9594,4.352,1,2,1,50.0,23.71541501976285,23.71541501976285,6.848578016910069,3.1514219830899317,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
61,54.25606943211751,52.52908578971589,002853,皮阿诺,bottom_area,2024-07-19,6.57,2024-07-18,6.36,3.3018867924528292,3.616352201257854,31.019522776572668,False,0.4587,1.9659,1,4,1,25.0,10.012836970474972,10.012836970474972,6.698113207547171,3.3018867924528292,历史1/4次成功; 当前距低点3.30%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
