rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.12665014904614,84.43271860095392,605005,合兴股份,bottom_area,2025-06-11,19.2,2025-06-10,18.87,1.7488076311605631,5.19342872284049,29.08680947012401,False,1.2658,2.6599,1,1,1,100.0,96.96521095484826,96.96521095484826,18.25119236883944,1.7488076311605631,历史1/1次成功; 当前距低点1.75%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
12,78.14776797274858,68.3886053133997,300394,天孚通信,bottom_area,2025-06-11,67.96,2025-06-09,66.19,2.6741199576975316,11.028856322707353,28.497353354218426,True,-1.1203,4.0882,2,3,2,66.66666666666666,27.252323388620475,33.2041656575442,17.32588004230247,2.6741199576975316,历史2/3次成功; 当前距低点2.67%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
13,76.69740338373016,66.33021847427149,002819,东方中科,bottom_area,2025-06-11,28.19,2025-06-10,27.63,2.0267824828085494,5.501266739051754,32.21295387634936,False,0.2489,2.6762,2,5,2,40.0,36.08216416706984,51.677148846960186,17.973217517191454,2.0267824828085494,历史2/5次成功; 当前距低点2.03%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
14,76.33064062568083,66.91869471440954,000715,中兴商业,bottom_area,2025-06-11,5.56,2025-06-03,5.41,2.7726432532347403,6.099815157116452,28.815789473684205,False,0.1802,1.4927,2,4,2,50.0,26.722157697767457,29.105691056910565,17.22735674676526,2.7726432532347403,历史2/4次成功; 当前距低点2.77%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
15,75.62850619380302,64.09731075786762,688188,柏楚电子,bottom_area,2025-06-11,137.92,2025-06-11,136.66,0.9219961949363318,1.5073906044197294,31.8675840063815,False,-0.217,0.2689,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,19.07800380506367,0.9219961949363318,历史2/3次成功; 当前距低点0.92%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
16,74.0388830874079,67.4029590582219,688318,财富趋势,bottom_area,2025-06-11,101.39,2025-06-06,96.71,4.83921000930618,8.458277323958233,30.906622847753095,True,2.4141,1.7003,4,7,4,57.14285714285714,29.988099198218027,36.949152542372886,15.160789990693821,4.83921000930618,历史4/7次成功; 当前距低点4.84%; 最新日涨幅2.41%; 状态bottom_area; 底部已确认
17,72.54672101120585,62.24711918660846,688135,利扬芯片,bottom_area,2025-06-11,19.11,2025-05-30,18.81,1.594896331738441,5.901116427432234,27.290297642056444,False,-0.0523,2.005,2,5,2,40.0,31.309047435333802,40.41850220264317,18.40510366826156,1.594896331738441,历史2/5次成功; 当前距低点1.59%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
18,71.7446705388728,63.4282467912872,001311,多利科技,bottom_area,2025-06-11,20.44,2025-06-10,19.8,3.232323232323235,4.191919191919183,31.794695142955565,False,2.2511,4.3985,1,2,1,50.0,46.9244288224956,46.9244288224956,16.767676767676765,3.232323232323235,历史1/2次成功; 当前距低点3.23%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
19,70.38505329891679,61.142914349187606,002136,安纳达,bottom_area,2025-06-11,10.81,2025-06-10,10.57,2.270577105014193,3.689687795648066,29.297658862876247,False,0.7456,5.1689,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,17.72942289498581,2.270577105014193,历史1/3次成功; 当前距低点2.27%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
20,69.80135792370966,61.02744421821542,300819,聚杰微纤,bottom_area,2025-06-11,21.91,2025-06-10,21.35,2.6229508196721247,7.119437939110068,31.12903225806451,False,0.3205,1.9666,1,2,1,50.0,26.54716175842936,26.54716175842936,17.377049180327873,2.6229508196721247,历史1/2次成功; 当前距低点2.62%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
21,69.74519848855563,63.03670510159671,300697,电工合金,bottom_area,2025-06-11,11.99,2025-06-10,11.48,4.442508710801392,6.271777003484311,27.43362831858407,False,3.0954,6.0879,2,4,2,50.0,26.320564313031607,31.64400494437578,15.55749128919861,4.442508710801392,历史2/4次成功; 当前距低点4.44%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
22,64.71852314775191,58.13329883938954,002042,华孚时尚,bottom_area,2025-06-11,4.82,2025-06-03,4.63,4.1036717062635075,9.935205183585312,28.549382716049386,True,-0.6186,1.099,1,2,1,50.0,42.41758241758243,42.41758241758243,15.896328293736495,4.1036717062635075,历史1/2次成功; 当前距低点4.10%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
23,60.7184485511413,53.9268668982173,002041,登海种业,bottom_area,2025-06-11,10.1,2025-06-03,9.76,3.4836065573770476,6.249999999999995,28.023598820059004,False,-0.8832,1.5129,1,2,1,50.0,21.395106715252467,21.395106715252467,16.516393442622952,3.4836065573770476,历史1/2次成功; 当前距低点3.48%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
