rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.16581162604253,90.7774070192104,300437,清水源,bottom_area,2025-12-12,18.43,2025-12-11,18.17,1.430930104567958,8.860759493670882,29.299610894941626,True,0.163,22.1289,9,9,9,100.0,21.021116438845855,30.330330330330323,8.569069895432042,1.430930104567958,历史9/9次成功; 当前距低点1.43%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
12,81.44553470960558,78.01695362101748,300035,中科电气,bottom_area,2025-12-12,20.98,2025-12-05,20.42,2.7424094025465164,5.729676787463261,29.097222222222218,False,0.5753,2.9444,1,1,1,100.0,27.686274509803933,27.686274509803933,7.257590597453484,2.7424094025465164,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
13,81.06596643150783,75.58859450367589,603938,三孚股份,bottom_area,2025-12-12,17.54,2025-11-21,17.31,1.328711727325248,8.08781051415368,27.45180217937972,False,-0.8479,1.4913,1,1,1,100.0,19.774501300954046,19.774501300954046,8.671288272674753,1.328711727325248,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
14,80.39560182961479,74.69724254861622,605368,蓝天燃气,bottom_area,2025-12-12,7.97,2025-12-12,7.88,1.1421319796954297,4.822335025380709,28.944995491433723,False,-2.8049,3.5192,1,1,1,100.0,12.695179904955879,12.695179904955879,8.857868020304572,1.1421319796954297,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
15,80.19914543839509,75.98961727151715,603197,保隆科技,bottom_area,2025-12-12,34.84,2025-11-21,34.1,2.170087976539595,5.014662756598243,27.431368376250266,False,-0.1147,0.7834,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,7.829912023460405,2.170087976539595,历史5/6次成功; 当前距低点2.17%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
16,78.70871056777116,71.82382335827931,003038,鑫铂股份,bottom_area,2025-12-12,15.21,2025-12-12,15.18,0.1976284584980312,2.108036890645588,29.68967114404817,False,-0.6532,1.4935,1,1,1,100.0,25.507614213197975,25.507614213197975,9.80237154150197,0.1976284584980312,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
17,77.9844900897879,76.05508736575332,688050,爱博医疗,bottom_area,2025-12-12,61.06,2025-12-10,58.89,3.684836135167264,4.601799966038378,29.750685911964688,False,3.1419,2.165,2,2,2,100.0,12.024267494272554,12.90770757525636,6.315163864832737,3.684836135167264,历史2/2次成功; 当前距低点3.68%; 最新日涨幅3.14%; 状态bottom_area; 底部未确认
18,75.65512896178429,69.05434589800444,301177,迪阿股份,bottom_area,2025-12-12,28.56,2025-12-12,28.5,0.2105263157894692,1.473684210526322,30.94257329779501,False,-0.3141,0.243,1,1,1,100.0,10.776053215077603,10.776053215077603,9.789473684210531,0.2105263157894692,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
19,75.38887542868216,68.95279527751458,000998,隆平高科,bottom_area,2025-12-12,9.46,2025-12-09,9.43,0.31813361611878194,1.8027571580063622,27.40569668976136,False,-0.3161,0.7445,1,1,1,100.0,11.549139367018313,11.549139367018313,9.681866383881218,0.31813361611878194,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
20,75.33426041184958,72.96516330455441,300768,迪普科技,bottom_area,2025-12-12,19.28,2025-12-05,18.66,3.3226152197213343,6.216505894962488,27.05238467552775,False,1.4737,1.6635,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,6.6773847802786666,3.3226152197213343,历史2/3次成功; 当前距低点3.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
21,74.43217632059142,67.66561483690128,002291,遥望科技,bottom_area,2025-12-12,6.38,2025-12-12,6.38,0.0,2.194357366771155,31.249999999999993,False,-1.5432,4.4627,3,4,3,75.0,17.153843209146633,27.107438016528935,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
22,71.66879233959499,68.87018075417785,688337,普源精电,bottom_area,2025-12-12,36.79,2025-12-04,35.75,2.9090909090909065,5.398601398601397,28.499999999999996,False,2.4791,0.8029,3,6,3,50.0,38.886602295188766,54.46153846153845,7.0909090909090935,2.9090909090909065,历史3/6次成功; 当前距低点2.91%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
23,70.55376467124614,64.478893695021,603032,德新科技,bottom_area,2025-12-12,18.15,2025-12-12,18.1,0.27624309392263624,1.491712707182318,27.42582197273456,False,-0.1101,1.8429,3,5,3,60.0,23.649074995508602,33.061224489795926,9.723756906077364,0.27624309392263624,历史3/5次成功; 当前距低点0.28%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
24,70.55235596416786,64.13850542197078,605299,舒华体育,bottom_area,2025-12-12,12.31,2025-12-12,12.31,0.0,3.3306255077173037,28.637681159420286,False,-10.0146,13.1925,2,3,2,66.66666666666666,43.12816535109732,56.12903225806454,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
25,70.44367163500166,65.62559032034353,600383,金地集团,bottom_area,2025-12-12,3.16,2025-12-10,3.12,1.2820512820512833,8.653846153846153,31.578947368421044,False,-0.3155,2.0491,2,4,2,50.0,23.971329265701364,32.594936708860764,8.717948717948717,1.2820512820512833,历史2/4次成功; 当前距低点1.28%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
26,66.89657306905143,66.47855376545525,000638,,bottom_area,2025-12-12,4.93,2025-12-12,4.71,4.670912951167723,6.794055201698519,31.4410480349345,False,-0.404,4.4404,1,1,1,100.0,11.764705882352935,11.764705882352935,5.329087048832277,4.670912951167723,历史1/1次成功; 当前距低点4.67%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
27,64.89791390740437,61.938718325976794,002017,东信和平,bottom_area,2025-12-12,20.91,2025-12-04,20.39,2.550269740068659,5.394801373222157,29.373051610668515,False,1.1611,2.441,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,7.449730259931342,2.550269740068659,历史1/3次成功; 当前距低点2.55%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
28,64.71552172781682,58.83229247983347,300640,德艺文创,bottom_area,2025-12-12,7.78,2025-12-12,7.78,0.0,5.7840616966581,27.22170252572497,False,-8.2547,34.2348,2,3,2,66.66666666666666,14.600138780466654,17.724867724867735,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-8.25%; 状态bottom_area; 底部未确认
29,59.70426599545758,55.200475044973466,002670,国盛证券,bottom_area,2025-12-12,17.11,2025-12-11,16.96,0.8844339622641426,3.1249999999999853,27.053763440860212,False,0.8844,1.1603,1,2,1,50.0,13.747228381374727,13.747228381374727,9.115566037735858,0.8844339622641426,历史1/2次成功; 当前距低点0.88%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
30,57.389035323981005,55.053310578085934,688348,昱能科技,bottom_area,2025-12-12,51.43,2025-12-05,50.02,2.818872451019585,5.497800879648141,30.796900940785832,False,1.6403,0.8559,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,7.181127548980415,2.818872451019585,历史1/3次成功; 当前距低点2.82%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
