rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,88.75234253711972,83.62143095615802,600338,西藏珠峰,bottom_area,2023-08-28,14.13,2023-08-25,13.87,1.874549387166558,6.200432588320124,28.320413436692515,False,1.2178,1.7667,2,2,2,100.0,30.512922359665453,31.213191990577155,8.125450612833443,1.874549387166558,历史2/2次成功; 当前距低点1.87%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
13,88.69118832329997,83.02151376384498,300656,民德电子,bottom_area,2023-08-28,23.18,2023-08-25,22.83,1.5330705212439835,8.585194918966277,31.027190332326292,True,0.564,1.2336,2,2,2,100.0,13.908142754200325,14.79500891265598,8.466929478756018,1.5330705212439835,历史2/2次成功; 当前距低点1.53%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
14,88.66963998776806,82.18413338403865,000028,国药一致,bottom_area,2023-08-28,31.87,2023-08-25,31.55,1.0142630744849455,5.229793977813002,28.539071347678362,False,0.5363,0.8098,2,2,2,100.0,12.240070934754426,14.150943396226415,8.985736925515054,1.0142630744849455,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
15,88.10667792675207,80.20845182825514,302132,中航成飞,bottom_area,2023-08-28,41.21,2023-08-28,41.18,0.07285089849441753,9.154929577464795,32.54709254709255,False,-1.1751,2.3887,4,4,4,100.0,19.056730520550555,28.81165919282512,9.927149101505584,0.07285089849441753,历史4/4次成功; 当前距低点0.07%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
16,88.09134109911412,82.74419279136991,600148,长春一东,bottom_area,2023-08-28,14.84,2023-08-25,14.59,1.7135023989033584,5.620287868403018,27.340637450199196,False,1.4354,1.4424,1,1,1,100.0,40.489130434782616,40.489130434782616,8.286497601096643,1.7135023989033584,历史1/1次成功; 当前距低点1.71%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
17,88.07736578437655,85.33447204022642,000411,英特集团,bottom_area,2023-08-28,11.76,2023-08-24,11.38,3.3391915641476184,7.029876977152889,27.974683544303797,True,0.5128,5.1395,3,3,3,100.0,31.816283905822544,47.98426745329401,6.660808435852382,3.3391915641476184,历史3/3次成功; 当前距低点3.34%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
18,87.94203060716197,83.56768578397651,002838,道恩股份,bottom_area,2023-08-28,13.22,2023-08-25,12.92,2.3219814241486123,6.5789473684210495,29.629629629629626,False,1.6141,1.4902,3,3,3,100.0,19.04195393029752,24.95606326889279,7.678018575851388,2.3219814241486123,历史3/3次成功; 当前距低点2.32%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
19,87.92533646535183,81.36656591525696,605111,新洁能,bottom_area,2023-08-28,33.57,2023-08-25,33.26,0.9320505111244807,7.27600721587493,27.616974972796527,True,0.209,2.5983,3,3,3,100.0,20.815274626993325,36.800373134328346,9.06794948887552,0.9320505111244807,历史3/3次成功; 当前距低点0.93%; 最新日涨幅0.21%; 状态bottom_area; 底部已确认
20,86.15999105188946,84.49168391721828,000620,盈新发展,bottom_area,2023-08-28,1.57,2023-08-25,1.51,3.973509933774838,7.947019867549661,27.403846153846157,True,1.2903,2.7563,3,3,3,100.0,35.0606804635748,58.4192439862543,6.026490066225162,3.973509933774838,历史3/3次成功; 当前距低点3.97%; 最新日涨幅1.29%; 状态bottom_area; 底部已确认
21,84.7192486356799,78.97557076207448,002265,建设工业,bottom_area,2023-08-28,12.32,2023-08-25,12.16,1.3157894736842117,6.907894736842104,28.344136711844424,False,0.9836,1.1537,3,4,3,75.0,19.519197645561725,32.75229357798165,8.68421052631579,1.3157894736842117,历史3/4次成功; 当前距低点1.32%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
22,84.13889911028517,76.88713174892129,688185,康希诺,confirmed_rebound,2023-08-28,70.21,2023-08-28,70.02,0.27135104255926557,10.86832333618966,28.711056811240077,False,-0.8893,2.1305,6,6,6,100.0,13.848452290088234,19.236097367900253,9.728648957440734,0.27135104255926557,历史6/6次成功; 当前距低点0.27%; 最新日涨幅-0.89%; 状态confirmed_rebound; 底部未确认
23,83.71000782608695,78.23365217391304,300512,中亚股份,bottom_area,2023-08-28,7.7,2023-08-25,7.59,1.4492753623188448,6.060606060606072,28.260869565217394,False,0.9174,0.9191,1,1,1,100.0,12.999999999999995,12.999999999999995,8.550724637681157,1.4492753623188448,历史1/1次成功; 当前距低点1.45%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
24,83.38815786419379,79.36795343435938,002755,奥赛康,bottom_area,2023-08-28,7.66,2023-08-24,7.48,2.4064171122994615,5.347593582887693,32.97491039426523,False,1.5915,0.3527,1,1,1,100.0,30.831099195710454,30.831099195710454,7.593582887700539,2.4064171122994615,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
25,83.34517850087153,82.4498689661942,688248,南网科技,bottom_area,2023-08-28,30.39,2023-08-25,29.1,4.432989690721646,8.247422680412365,32.29409027454629,True,4.0753,3.7283,3,3,3,100.0,29.715513231395445,49.406593406593416,5.567010309278355,4.432989690721646,历史3/3次成功; 当前距低点4.43%; 最新日涨幅4.08%; 状态bottom_area; 底部已确认
26,83.07779180310085,76.48272411695068,300423,昇辉科技,bottom_area,2023-08-28,9.15,2023-08-25,9.09,0.6600660066006655,5.720572057205716,29.37062937062937,False,0.5495,2.4041,2,2,2,100.0,17.084272107527923,23.28482328482329,9.339933993399335,0.6600660066006655,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
27,82.8644069013838,79.01750218952532,002519,银河电子,bottom_area,2023-08-28,5.32,2023-08-25,5.19,2.5048169556840056,7.707129094412321,30.053908355795144,True,1.7208,2.0158,1,1,1,100.0,20.959595959595962,20.959595959595962,7.495183044315995,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.72%; 状态bottom_area; 底部已确认
28,82.67305717750789,76.1736182154173,300473,德尔股份,bottom_area,2023-08-28,15.74,2023-08-25,15.63,0.703774792066535,6.269993602047336,30.37861915367483,False,0.191,2.164,2,2,2,100.0,15.958197534026922,21.37137137137137,9.296225207933466,0.703774792066535,历史2/2次成功; 当前距低点0.70%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
29,82.5563041282241,79.9764196242171,002084,海鸥住工,bottom_area,2023-08-28,4.03,2023-08-25,3.9,3.3333333333333424,6.153846153846148,27.102803738317753,False,3.0691,4.12,2,2,2,100.0,28.797954968909234,43.81720430107525,6.666666666666658,3.3333333333333424,历史2/2次成功; 当前距低点3.33%; 最新日涨幅3.07%; 状态bottom_area; 底部未确认
30,82.23304210253471,75.85250763662995,603131,上海沪工,bottom_area,2023-08-28,11.9,2023-08-25,11.81,0.7620660457239614,5.8425063505503765,28.293867638129928,False,0.3373,1.458,2,2,2,100.0,14.946334520863354,19.841269841269842,9.23793395427604,0.7620660457239614,历史2/2次成功; 当前距低点0.76%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
31,81.99770571641477,77.17431126250801,002121,科陆电子,bottom_area,2023-08-28,5.6,2023-08-25,5.5,1.818181818181812,6.909090909090907,29.03225806451613,False,1.2658,1.9002,1,1,1,100.0,11.826697892271683,11.826697892271683,8.181818181818189,1.818181818181812,历史1/1次成功; 当前距低点1.82%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
32,80.91827641925617,73.56206947205106,002654,万润科技,bottom_area,2023-08-28,8.5,2023-08-28,8.5,0.0,8.23529411764705,28.691275167785236,False,-1.9608,5.3877,3,3,3,100.0,11.355212215328315,12.487611496531217,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
33,80.82100012689408,74.57347152529036,300514,友讯达,bottom_area,2023-08-28,11.65,2023-08-25,11.56,0.7785467128027669,7.266435986159168,27.795128044971896,True,-0.0858,2.9199,1,1,1,100.0,38.21805392731536,38.21805392731536,9.221453287197235,0.7785467128027669,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
34,80.31550402420976,76.82168926210605,301499,维科精密,confirmed_rebound,2023-08-28,32.74,2023-08-25,31.89,2.665412354970215,11.06930072122923,31.654522074582076,True,0.5837,21.3055,1,1,1,100.0,21.337792642140478,21.337792642140478,7.334587645029786,2.665412354970215,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.58%; 状态confirmed_rebound; 底部已确认
35,79.49916114766687,72.4581412324785,300614,百川畅银,bottom_area,2023-08-28,22.29,2023-08-28,22.26,0.13477088948785976,7.771787960467192,28.653846153846146,False,-0.2685,3.0673,2,2,2,100.0,11.480746561886047,11.8614931237721,9.865229110512141,0.13477088948785976,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
36,79.43687282136906,73.04081259294331,603155,新亚强,bottom_area,2023-08-28,21.96,2023-08-28,21.83,0.5955107650023022,7.879065506184162,28.16716025008227,False,-1.701,1.2383,2,2,2,100.0,20.261167404024544,25.624375624375624,9.404489234997698,0.5955107650023022,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
37,79.05151695341837,76.63582254704416,601777,千里科技,bottom_area,2023-08-28,3.68,2023-08-25,3.56,3.3707865168539355,6.17977528089887,27.93522267206478,False,2.7933,1.1675,1,1,1,100.0,27.96352583586626,27.96352583586626,6.629213483146065,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
38,78.38673218704334,73.06304311579215,688110,东芯股份,confirmed_rebound,2023-08-28,27.86,2023-08-28,27.5,1.3090909090909069,10.909090909090908,27.536231884057976,False,-1.5548,3.6762,1,1,1,100.0,16.17080854042701,16.17080854042701,8.690909090909093,1.3090909090909069,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-1.55%; 状态confirmed_rebound; 底部未确认
39,78.30820955407742,71.24581288981291,002819,东方中科,bottom_area,2023-08-28,24.06,2023-08-28,24.05,0.041580041580033304,6.694386694386692,31.285714285714285,False,-1.5951,1.0214,1,1,1,100.0,20.487179487179493,20.487179487179493,9.958419958419967,0.041580041580033304,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
40,78.23681892255088,72.74270493713168,002845,同兴达,bottom_area,2023-08-28,13.73,2023-08-25,13.57,1.1790714812085494,5.600589535740603,29.322916666666664,False,0.7337,2.7206,2,3,2,66.66666666666666,19.055490578604818,25.83258325832584,8.820928518791451,1.1790714812085494,历史2/3次成功; 当前距低点1.18%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
41,78.13136675702711,71.52324121041286,300648,星云股份,bottom_area,2023-08-28,24.84,2023-08-28,24.75,0.3636363636363631,8.606060606060602,27.842565597667633,False,-0.64,1.9349,4,5,4,80.0,19.259850104858955,26.78362573099414,9.636363636363637,0.3636363636363631,历史4/5次成功; 当前距低点0.36%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
42,78.03218902541641,71.97962399965827,603061,金海通,bottom_area,2023-08-28,85.78,2023-08-25,85.13,0.763538118172214,6.777869141313298,31.451807713986636,False,0.3275,5.4733,1,1,1,100.0,10.80909090909091,10.80909090909091,9.236461881827788,0.763538118172214,历史1/1次成功; 当前距低点0.76%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
43,77.97503633013037,70.99695101428877,300438,鹏辉能源,bottom_area,2023-08-28,36.78,2023-08-28,36.75,0.08163265306122758,8.571428571428568,32.25806451612903,False,-2.3108,2.9982,1,1,1,100.0,19.640179910044974,19.640179910044974,9.918367346938773,0.08163265306122758,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
44,77.95196255876448,75.49575196450866,688207,格灵深瞳,bottom_area,2023-08-28,19.61,2023-08-25,18.98,3.3192834562697526,8.851422550052686,28.241965973534967,True,2.5091,3.3682,1,1,1,100.0,12.009237875288688,12.009237875288688,6.680716543730247,3.3192834562697526,历史1/1次成功; 当前距低点3.32%; 最新日涨幅2.51%; 状态bottom_area; 底部已确认
45,77.49584598420708,70.94386967113279,300461,田中精机,bottom_area,2023-08-28,16.48,2023-08-28,16.42,0.36540803897684965,7.186358099878194,27.022222222222215,False,-0.4831,2.4028,1,1,1,100.0,22.833333333333336,22.833333333333336,9.634591961023151,0.36540803897684965,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
46,77.45860863218104,70.52063828615486,002213,大为股份,bottom_area,2023-08-28,12.98,2023-08-28,12.97,0.07710100231302842,9.175019275250575,29.357298474945527,False,-1.5921,2.2691,1,1,1,100.0,17.02380952380952,17.02380952380952,9.922898997686973,0.07710100231302842,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
47,77.21161573207768,71.31865006919138,002436,兴森科技,bottom_area,2023-08-28,10.88,2023-08-28,10.79,0.834105653382777,8.433734939759038,27.340067340067343,False,-0.9107,2.8197,1,1,1,100.0,30.59360730593607,30.59360730593607,9.165894346617224,0.834105653382777,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
48,76.8649833833816,70.21662450609558,603070,万控智造,bottom_area,2023-08-28,15.8,2023-08-28,15.76,0.25380710659899064,6.47208121827412,29.955555555555556,False,-0.6914,3.1219,1,1,1,100.0,17.555401662049874,17.555401662049874,9.746192893401009,0.25380710659899064,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
49,76.557420146458,72.70327084846697,002386,天原股份,bottom_area,2023-08-28,5.81,2023-08-25,5.68,2.2887323943661957,5.281690140845083,31.48371531966224,False,1.5734,1.4106,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,7.711267605633805,2.2887323943661957,历史2/3次成功; 当前距低点2.29%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
50,76.46399291718775,70.82048548046332,688277,天智航,bottom_area,2023-08-28,13.44,2023-08-23,13.31,0.9767092411720435,8.489857250187821,29.088971763452314,True,-0.4444,1.6218,1,1,1,100.0,20.469798657718112,20.469798657718112,9.023290758827956,0.9767092411720435,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.44%; 状态bottom_area; 底部已确认
51,76.08379181020476,69.85764446827501,300671,富满微,bottom_area,2023-08-28,30.9,2023-08-28,30.74,0.5204944697462595,8.815875081327276,28.445065176908756,False,-1.0883,1.8245,1,1,1,100.0,18.894472361809044,18.894472361809044,9.479505530253741,0.5204944697462595,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
52,74.7955288194202,68.77083276209967,300521,爱司凯,bottom_area,2023-08-28,11.86,2023-08-28,11.79,0.5937234944868557,7.463952502120448,30.23668639053254,False,-0.7531,1.947,3,4,3,75.0,18.115711449084504,20.590790616854918,9.406276505513144,0.5937234944868557,历史3/4次成功; 当前距低点0.59%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
53,74.59492641017815,67.92823008849557,603076,乐惠国际,bottom_area,2023-08-28,33.93,2023-08-28,33.9,0.0884955752212423,8.584070796460189,27.22198368398454,False,-3.1125,2.0358,1,1,1,100.0,13.440860215053762,13.440860215053762,9.911504424778759,0.0884955752212423,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
54,73.39748402364957,67.62306251177456,688339,亿华通,confirmed_rebound,2023-08-28,51.75,2023-08-28,51.39,0.700525394045533,10.293831484724652,27.363957597173144,False,-3.5055,2.118,2,2,2,100.0,12.850862420421358,14.0971239981141,9.299474605954467,0.700525394045533,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-3.51%; 状态confirmed_rebound; 底部未确认
55,72.99213796759136,67.56192701152489,603255,鼎际得,confirmed_rebound,2023-08-28,36.38,2023-08-22,36.04,0.9433962264151039,10.155382907880144,31.063504208110178,True,-2.571,2.0557,1,1,1,100.0,12.757367783609205,12.757367783609205,9.056603773584897,0.9433962264151039,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-2.57%; 状态confirmed_rebound; 底部已确认
56,72.13704692908195,66.41292434951237,001266,宏英智能,bottom_area,2023-08-28,24.33,2023-08-25,24.17,0.6619776582540198,6.743897393462967,31.37421919363997,False,0.0823,5.237,2,3,2,66.66666666666666,18.524552385295017,23.285351397121083,9.33802234174598,0.6619776582540198,历史2/3次成功; 当前距低点0.66%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
57,71.48469101234949,65.98782563366113,688107,安路科技,bottom_area,2023-08-28,41.5,2023-08-28,41.17,0.8015545299975668,6.5338838960408,28.968253968253965,False,-1.1434,0.9511,2,3,2,66.66666666666666,40.4231359967146,67.95615731785945,9.198445470002433,0.8015545299975668,历史2/3次成功; 当前距低点0.80%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
58,71.43076619957449,67.11615616067401,002272,川润股份,bottom_area,2023-08-28,5.88,2023-08-25,5.78,1.7301038062283676,5.536332179930785,29.42612942612942,False,1.0309,2.3856,1,2,1,50.0,48.337595907928375,48.337595907928375,8.269896193771634,1.7301038062283676,历史1/2次成功; 当前距低点1.73%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
59,71.30195032920759,65.17288359767815,688286,敏芯股份,bottom_area,2023-08-28,45.83,2023-08-25,45.7,0.2844638949671673,8.752735229759299,30.335365853658523,True,-0.7794,1.1894,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,9.715536105032834,0.2844638949671673,历史2/3次成功; 当前距低点0.28%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
60,70.34602109704643,63.950928270042205,301396,宏景科技,confirmed_rebound,2023-08-28,32.18,2023-08-28,32.18,0.0,17.89931634555624,27.3589164785553,False,-9.3521,38.0726,1,1,1,100.0,13.445850914205348,13.445850914205348,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.35%; 状态confirmed_rebound; 底部未确认
61,70.31685837085551,63.92441670077773,603308,应流股份,confirmed_rebound,2023-08-28,12.9,2023-08-28,12.9,0.0,11.240310077519373,30.270270270270267,False,-4.7267,2.1736,1,1,1,100.0,13.303315595579207,13.303315595579207,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.73%; 状态confirmed_rebound; 底部未确认
62,70.08093140850151,65.89949158699187,688127,蓝特光学,bottom_area,2023-08-28,13.79,2023-08-28,13.55,1.7712177121771102,9.815498154981551,28.078556263269633,False,-1.076,1.7397,2,3,2,66.66666666666666,11.995705935962409,13.2015306122449,8.22878228782289,1.7712177121771102,历史2/3次成功; 当前距低点1.77%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
63,69.2091740391523,62.91743094468391,601778,晶科科技,bottom_area,2023-08-28,3.7,2023-08-28,3.7,0.0,6.48648648648648,28.015564202334627,False,-1.0695,3.4696,2,3,2,66.66666666666666,26.348195043103452,42.344827586206904,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
64,67.73471883105971,62.37573074453249,688173,希荻微,bottom_area,2023-08-28,16.4,2023-08-28,16.29,0.6752608962553679,8.410067526089632,32.125,False,-1.026,1.4925,2,3,2,66.66666666666666,19.455155491011066,23.120837297811605,9.324739103744632,0.6752608962553679,历史2/3次成功; 当前距低点0.68%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
65,64.84673934676813,59.20433079739769,688202,美迪西,confirmed_rebound,2023-08-28,71.55,2023-08-28,71.39,0.22412102535368622,14.848017929682019,27.808676307007786,False,-6.8238,3.969,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,9.775878974646314,0.22412102535368622,历史2/3次成功; 当前距低点0.22%; 最新日涨幅-6.82%; 状态confirmed_rebound; 底部未确认
66,61.254628607193055,60.79579243785079,688115,思林杰,confirmed_rebound,2023-08-28,30.21,2023-08-15,28.88,4.605263157894743,12.188365650969528,27.345911949685537,True,-0.5596,1.0447,2,3,2,66.66666666666666,20.31788049023731,23.658728081654015,5.394736842105257,4.605263157894743,历史2/3次成功; 当前距低点4.61%; 最新日涨幅-0.56%; 状态confirmed_rebound; 底部已确认
67,60.51049683398784,57.92475218462161,000670,盈方微,bottom_area,2023-08-28,5.69,2023-08-25,5.54,2.7075812274368296,5.956678700361012,29.516539440203566,False,1.9713,2.8216,1,2,1,50.0,10.903426791277262,10.903426791277262,7.292418772563171,2.7075812274368296,历史1/2次成功; 当前距低点2.71%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
68,59.69077976897332,58.01904458598726,002425,凯撒文化,bottom_area,2023-08-28,4.72,2023-08-25,4.56,3.5087719298245648,6.140350877192988,27.04000000000001,False,2.8322,2.5414,1,2,1,50.0,21.231422505307858,21.231422505307858,6.491228070175437,3.5087719298245648,历史1/2次成功; 当前距低点3.51%; 最新日涨幅2.83%; 状态bottom_area; 底部未确认
69,57.44913140660112,54.58887247940927,300357,我武生物,confirmed_rebound,2023-08-28,30.88,2023-08-24,30.18,2.319416832339295,13.65142478462557,28.040057224606578,True,-1.7812,1.1032,1,2,1,50.0,11.705069124423972,11.705069124423972,7.680583167660705,2.319416832339295,历史1/2次成功; 当前距低点2.32%; 最新日涨幅-1.78%; 状态confirmed_rebound; 底部已确认
70,52.990841410327114,48.33880014267758,300458,全志科技,bottom_area,2023-08-28,22.33,2023-08-28,22.29,0.1794526693584529,8.838043965904003,29.350237717908083,False,-0.9317,2.4033,1,3,1,33.33333333333333,10.132359653126422,10.132359653126422,9.820547330641547,0.1794526693584529,历史1/3次成功; 当前距低点0.18%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
