rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.70378093211747,87.23962704375248,001239,永达股份,bottom_area,2024-08-13,14.43,2024-08-13,14.23,1.4054813773717447,2.178496134926203,30.888780961631856,False,0.1388,12.6848,3,3,3,100.0,27.54905690408631,62.04678362573098,6.5945186226282555,1.4054813773717447,历史3/3次成功; 当前距低点1.41%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
12,76.93787306497227,77.241418287717,603368,柳药集团,confirmed_rebound,2024-08-13,17.1,2024-07-31,16.41,4.204753199268747,8.470444850700796,31.908713692946062,True,-1.1561,1.3578,3,3,3,100.0,31.603524634675978,42.85714285714285,3.7952468007312534,4.204753199268747,历史3/3次成功; 当前距低点4.20%; 最新日涨幅-1.16%; 状态confirmed_rebound; 底部已确认
13,76.53421142376139,73.1884535473128,002601,龙佰集团,bottom_area,2024-08-13,16.38,2024-08-13,16.11,1.6759776536312825,2.1104903786468023,30.560344827586206,False,-0.2436,0.2677,1,1,1,100.0,11.127325793506023,11.127325793506023,6.324022346368718,1.6759776536312825,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
14,74.84787789569755,71.73079166352561,301507,民生健康,bottom_area,2024-08-13,13.66,2024-08-13,13.42,1.7883755588673638,5.290611028315953,29.33122696155871,False,-3.8705,24.037,1,1,1,100.0,14.883268482490283,14.883268482490283,6.211624441132637,1.7883755588673638,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
15,74.15046300600764,73.44870708801874,000726,鲁泰A,bottom_area,2024-08-13,5.61,2024-07-30,5.42,3.5055350553505606,4.797047970479701,28.211920529801326,False,0.0,0.5792,1,1,1,100.0,12.480252764612954,12.480252764612954,4.494464944649439,3.5055350553505606,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,73.82484580621653,74.8266060835804,600210,紫江企业,confirmed_rebound,2024-08-13,4.9,2024-07-25,4.68,4.700854700854714,9.61538461538462,27.329192546583858,True,0.0,0.4077,2,2,2,100.0,18.895455922199744,19.867549668874158,3.2991452991452856,4.700854700854714,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
17,73.28722906626984,73.334618157163,002706,良信股份,bottom_area,2024-08-13,6.19,2024-07-30,5.95,4.033613445378155,7.394957983193269,32.7683615819209,True,0.8143,0.6992,3,4,3,75.0,13.31320867002797,14.727153188691638,3.9663865546218453,4.033613445378155,历史3/4次成功; 当前距低点4.03%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
18,72.44095266839545,73.0995067835627,603010,万盛股份,bottom_area,2024-08-13,8.88,2024-07-18,8.5,4.470588235294127,7.5294117647058885,27.78249787595582,True,0.1127,0.1988,1,1,1,100.0,13.238967527060783,13.238967527060783,3.5294117647058734,4.470588235294127,历史1/1次成功; 当前距低点4.47%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
19,72.03972385113877,67.20123493576378,002316,亚联发展,bottom_area,2024-08-13,2.6,2024-08-13,2.59,0.38610038610039504,5.405405405405411,27.247191011235962,False,-4.7619,10.2462,6,8,6,75.0,17.34700976383158,24.890829694323134,7.613899613899605,0.38610038610039504,历史6/8次成功; 当前距低点0.39%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
20,71.63802540364811,70.34925486962791,600997,开滦股份,bottom_area,2024-08-13,6.07,2024-07-30,5.89,3.056027164685919,5.942275042444831,30.70588235294118,False,-0.4918,0.3614,1,1,1,100.0,12.77955271565495,12.77955271565495,4.9439728353140815,3.056027164685919,历史1/1次成功; 当前距低点3.06%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
21,70.10495493743828,70.03035535782941,301606,绿联科技,bottom_area,2024-08-13,30.04,2024-08-13,28.9,3.9446366782006943,3.9446366782006943,30.34466136418415,False,-0.4309,15.9586,1,1,1,100.0,21.957671957671955,21.957671957671955,4.055363321799306,3.9446366782006943,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
22,69.07616475755069,70.16851790109202,000090,天健集团,confirmed_rebound,2024-08-13,3.7,2024-07-25,3.53,4.8158640226629,9.915014164305951,28.973843058350102,True,0.271,0.5274,1,1,1,100.0,11.928429423459237,11.928429423459237,3.1841359773371,4.8158640226629,历史1/1次成功; 当前距低点4.82%; 最新日涨幅0.27%; 状态confirmed_rebound; 底部已确认
23,68.48537093218292,66.82487406156228,002651,利君股份,bottom_area,2024-08-13,5.28,2024-08-13,5.14,2.7237354085603225,5.642023346303502,29.201101928374655,False,-0.189,8.0901,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,5.276264591439678,2.7237354085603225,历史2/3次成功; 当前距低点2.72%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
24,66.98114074697091,67.14767860884142,002372,伟星新材,bottom_area,2024-08-13,13.87,2024-07-30,13.32,4.129129129129121,6.906906906906906,29.3368700265252,False,-0.144,0.262,1,1,1,100.0,8.720930232558127,8.720930232558127,3.8708708708708794,4.129129129129121,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
25,65.45432798492284,66.20084818789267,002293,罗莱生活,bottom_area,2024-08-13,7.52,2024-07-30,7.19,4.589707927677318,5.146036161335177,29.78515625,False,-0.1328,0.138,1,1,1,100.0,9.27624872579001,9.27624872579001,3.410292072322682,4.589707927677318,历史1/1次成功; 当前距低点4.59%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
26,60.93308928075751,61.31643926788687,600058,五矿发展,confirmed_rebound,2024-08-13,6.27,2024-07-25,6.01,4.326123128119797,8.153078202995012,31.85941043083901,True,1.2924,0.2712,1,2,1,50.0,99.54954954954954,99.54954954954954,3.673876871880203,4.326123128119797,历史1/2次成功; 当前距低点4.33%; 最新日涨幅1.29%; 状态confirmed_rebound; 底部已确认
