rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.55658613047238,87.11227295505888,601369,陕鼓动力,bottom_area,2023-05-08,9.33,2023-04-27,9.2,1.4130434782608783,5.00000000000001,31.189229618548993,False,0.5388,0.9376,3,3,3,100.0,26.957054223084292,55.572755417956664,6.586956521739122,1.4130434782608783,历史3/3次成功; 当前距低点1.41%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
16,81.74820874565526,78.9895292079893,688049,炬芯科技,bottom_area,2023-05-08,31.84,2023-05-05,31.15,2.2150882825040172,4.012841091492777,31.084070796460182,False,1.0794,1.7261,2,2,2,100.0,9.784572538163834,11.287895076327672,5.784911717495983,2.2150882825040172,历史2/2次成功; 当前距低点2.22%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
17,81.61721527032907,78.35293615689574,300671,富满微,bottom_area,2023-05-08,42.86,2023-05-08,42.07,1.8778226764915598,2.0204421202757343,32.709532949456175,False,1.6121,1.4684,1,1,1,100.0,18.894472361809044,18.894472361809044,6.12217732350844,1.8778226764915598,历史1/1次成功; 当前距低点1.88%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
18,81.60754045152372,79.07314897860435,688286,敏芯股份,bottom_area,2023-05-08,46.85,2023-05-08,45.77,2.3596242079965,2.578107930959143,28.684948582112813,False,1.6489,1.0937,2,2,2,100.0,12.005871896969783,16.00279524807827,5.6403757920035,2.3596242079965,历史2/2次成功; 当前距低点2.36%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
19,81.33588764751393,77.54130317980604,301326,捷邦科技,bottom_area,2023-05-08,32.81,2023-05-05,32.32,1.5160891089108972,4.455445544554449,27.501121579183486,False,0.6442,2.7433,1,1,1,100.0,10.096700796359514,10.096700796359514,6.483910891089104,1.5160891089108972,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
20,81.10804677265315,77.01158963228329,300390,天华新能,bottom_area,2023-05-08,34.14,2023-05-08,33.7,1.3056379821958388,3.7685459940652697,31.850353892821033,False,-0.7558,1.9104,1,1,1,100.0,27.142173288654863,27.142173288654863,6.694362017804162,1.3056379821958388,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
21,80.91590997442455,77.80375959079284,000629,钒钛股份,confirmed_rebound,2023-05-08,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,0.0,0.8266,1,1,1,100.0,27.173913043478265,27.173913043478265,6.039215686274509,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部未确认
22,80.33563666502529,79.31820652579358,300552,万集科技,bottom_area,2023-05-08,17.65,2023-05-04,17.08,3.3372365339578476,7.728337236533961,31.129032258064527,True,0.5125,3.083,2,2,2,100.0,16.113472167835834,23.929299796057098,4.662763466042152,3.3372365339578476,历史2/2次成功; 当前距低点3.34%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
23,78.8110218164176,77.66203884559863,300661,圣邦股份,bottom_area,2023-05-08,123.45,2023-04-25,119.58,3.23632714500753,6.790433182806494,30.20079383609619,False,1.5297,0.6639,1,1,1,100.0,31.832606108687024,31.832606108687024,4.76367285499247,3.23632714500753,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
24,78.72195986614602,77.8911212395904,000980,众泰汽车,confirmed_rebound,2023-05-08,3.0,2023-04-26,2.9,3.448275862068969,8.965517241379318,32.24299065420561,True,-0.3322,1.0033,3,3,3,100.0,25.823603253266942,43.49775784753364,4.551724137931031,3.448275862068969,历史3/3次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态confirmed_rebound; 底部已确认
25,78.63434746904582,77.4722635163013,002758,浙农股份,bottom_area,2023-05-08,12.48,2023-04-25,12.09,3.225806451612908,5.789909015715462,28.249258160237396,False,0.4023,1.24,2,2,2,100.0,14.016678634294234,19.064430714916153,4.7741935483870925,3.225806451612908,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
26,78.60463903147699,72.78207317729351,000070,特发信息,bottom_area,2023-05-08,7.07,2023-05-08,7.07,0.0,0.0,29.65174129353234,False,-10.0509,1.0874,2,2,2,100.0,34.04340417899739,50.60532687651331,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
27,78.32681676073133,77.82202524562457,688079,美迪凯,bottom_area,2023-05-08,9.62,2023-05-05,9.28,3.663793103448275,4.525862068965517,27.044025157232713,False,1.7989,1.6627,2,2,2,100.0,21.265986674659317,29.007036747458958,4.336206896551725,3.663793103448275,历史2/2次成功; 当前距低点3.66%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
28,78.18514148724856,79.5738982472891,002363,隆基机械,bottom_area,2023-05-08,6.83,2023-04-25,6.51,4.9155145929339525,7.219662058371745,28.774617067833702,True,0.7375,0.9069,2,2,2,100.0,36.83479311386288,54.96828752642705,3.0844854070660475,4.9155145929339525,历史2/2次成功; 当前距低点4.92%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
29,78.05495162096886,73.36215464551078,001201,东瑞股份,bottom_area,2023-05-08,24.65,2023-05-05,24.46,0.7767784137367036,2.207686017988549,28.01648028251912,False,0.1219,0.8321,1,1,1,100.0,18.4043517679057,18.4043517679057,7.223221586263297,0.7767784137367036,历史1/1次成功; 当前距低点0.78%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
30,78.04947477692217,74.9567052755802,002385,大北农,bottom_area,2023-05-08,6.98,2023-04-25,6.85,1.8978102189781136,4.963503649635047,30.73811931243681,False,-0.5698,0.9801,1,1,1,100.0,23.353293413173663,23.353293413173663,6.102189781021887,1.8978102189781136,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
31,77.41590199280287,77.26228515832628,603005,晶方科技,bottom_area,2023-05-08,22.13,2023-05-05,21.3,3.8967136150234656,4.319248826291071,28.1618887015177,False,1.3743,3.24,2,2,2,100.0,21.111786024622447,24.55991516436903,4.103286384976535,3.8967136150234656,历史2/2次成功; 当前距低点3.90%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
32,77.2499507338065,75.59697015943112,688047,龙芯中科,bottom_area,2023-05-08,137.75,2023-05-08,133.9,2.875280059746075,4.480955937266617,27.1094175285792,False,0.8788,5.0021,1,1,1,100.0,16.304347826086957,16.304347826086957,5.124719940253925,2.875280059746075,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
33,77.2210627141246,75.43764274342483,000970,中科三环,bottom_area,2023-05-08,11.81,2023-04-27,11.49,2.7850304612706727,5.04786771105309,27.140139505389975,False,1.5477,0.9775,1,1,1,100.0,14.341463414634154,14.341463414634154,5.214969538729328,2.7850304612706727,历史1/1次成功; 当前距低点2.79%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
34,77.06772395497072,76.05711396415266,688182,灿勤科技,bottom_area,2023-05-08,17.46,2023-05-05,16.9,3.313609467455635,5.3254437869822615,27.746900384779828,False,1.689,2.7327,1,1,1,100.0,24.15130940834142,24.15130940834142,4.686390532544364,3.313609467455635,历史1/1次成功; 当前距低点3.31%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
35,77.00240246722788,76.25670246639235,002724,海洋王,confirmed_rebound,2023-05-08,8.59,2023-04-25,8.3,3.493975903614447,8.192771084337345,28.999144568006834,True,-0.5787,1.1417,3,3,3,100.0,17.596599605555337,25.204081632653047,4.506024096385553,3.493975903614447,历史3/3次成功; 当前距低点3.49%; 最新日涨幅-0.58%; 状态confirmed_rebound; 底部已确认
36,76.45610423235425,76.50000667520945,000059,华锦股份,bottom_area,2023-05-08,6.97,2023-04-25,6.7,4.02985074626865,5.970149253731335,29.916317991631804,False,0.8683,0.7413,2,2,2,100.0,18.645518154311638,25.41603630862328,3.97014925373135,4.02985074626865,历史2/2次成功; 当前距低点4.03%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
37,75.94030274467588,77.36100133068973,002553,南方精工,bottom_area,2023-05-08,10.15,2023-04-26,9.67,4.963805584281287,7.445708376421931,28.844738778513612,True,0.3956,1.2759,2,2,2,100.0,25.52945195081221,32.14285714285715,3.0361944157187133,4.963805584281287,历史2/2次成功; 当前距低点4.96%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
38,75.93470930378426,75.02906778021898,300721,怡达股份,confirmed_rebound,2023-05-08,15.31,2023-04-28,14.81,3.3760972316002698,9.52059419311275,31.90804597701149,True,0.0654,1.6094,1,1,1,100.0,20.411663807890235,20.411663807890235,4.623902768399731,3.3760972316002698,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.07%; 状态confirmed_rebound; 底部已确认
39,75.89756458283645,74.23930834882701,002748,世龙实业,bottom_area,2023-05-08,10.1,2023-04-26,9.82,2.851323828920564,3.767820773930745,29.857142857142854,False,1.2024,0.5608,1,1,1,100.0,8.711433756805816,8.711433756805816,5.148676171079436,2.851323828920564,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
40,75.40820591656866,72.33959768786127,688313,仕佳光子,bottom_area,2023-05-08,12.73,2023-05-08,12.5,1.8400000000000034,5.200000000000003,32.28602383531961,False,-0.702,4.88,1,1,1,100.0,8.574181117533707,8.574181117533707,6.159999999999997,1.8400000000000034,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
41,75.08406348273111,70.49824924832822,688010,福光股份,confirmed_rebound,2023-05-08,23.65,2023-05-08,23.48,0.7240204429301454,10.775127768313462,29.40469031870114,False,-9.8017,3.6735,2,2,2,100.0,28.59685945273632,42.08955223880597,7.275979557069855,0.7240204429301454,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-9.80%; 状态confirmed_rebound; 底部未确认
42,75.04402495136591,70.587708013754,688127,蓝特光学,bottom_area,2023-05-08,16.03,2023-05-08,15.9,0.8176100628930866,1.886792452830182,29.238985313751662,False,-0.4348,0.6965,2,2,2,100.0,9.794940629839962,10.789881259679916,7.182389937106913,0.8176100628930866,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
43,74.95380527396533,72.54231681314681,601138,工业富联,bottom_area,2023-05-08,14.68,2023-05-08,14.35,2.2996515679442515,2.9965156794425067,27.780573729240064,False,-0.6093,0.7632,1,1,1,100.0,15.298507462686556,15.298507462686556,5.700348432055749,2.2996515679442515,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
44,74.53376877193547,70.29336879490242,688116,天奈科技,bottom_area,2023-05-08,51.8,2023-04-25,51.31,0.9549795361527866,6.704346131358404,28.39799051074518,False,-1.0695,1.2035,2,2,2,100.0,9.896355577047169,11.226578491576134,7.045020463847214,0.9549795361527866,历史2/2次成功; 当前距低点0.95%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
45,74.14371465910027,74.07929787833649,300353,东土科技,bottom_area,2023-05-08,11.04,2023-05-04,10.62,3.954802259887005,6.30885122410546,31.48387096774194,False,2.6977,3.4254,1,1,1,100.0,21.377672209026137,21.377672209026137,4.045197740112995,3.954802259887005,历史1/1次成功; 当前距低点3.95%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
46,73.5254879877239,73.12106530554017,002403,爱仕达,bottom_area,2023-05-08,8.1,2023-04-25,7.81,3.713188220230475,7.298335467349568,28.545288197621225,True,-0.2463,0.8161,2,2,2,100.0,9.877066922933613,11.190233977619528,4.2868117797695255,3.713188220230475,历史2/2次成功; 当前距低点3.71%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
47,73.45959889633842,68.73573812842673,605358,立昂微,bottom_area,2023-05-08,42.43,2023-05-08,42.2,0.545023696682457,2.6066350710900337,30.955497382198942,False,-1.3256,2.4159,1,1,1,100.0,13.16339869281045,13.16339869281045,7.454976303317543,0.545023696682457,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
48,72.70319358887801,68.67817189431409,688298,东方生物,bottom_area,2023-05-08,55.42,2023-05-08,54.85,1.0391978122151326,4.721969006381032,29.389804325437694,False,-3.0949,1.6764,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,6.960802187784868,1.0391978122151326,历史4/6次成功; 当前距低点1.04%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
49,72.69476344486321,73.52942174576104,603232,格尔软件,confirmed_rebound,2023-05-08,14.8,2023-04-27,14.15,4.593639575971734,8.551236749116601,32.29665071770334,True,-2.5033,3.22,3,3,3,100.0,16.413548274067672,22.78481012658228,3.4063604240282666,4.593639575971734,历史3/3次成功; 当前距低点4.59%; 最新日涨幅-2.50%; 状态confirmed_rebound; 底部已确认
50,72.05283928030757,68.32827823160441,000721,西安饮食,bottom_area,2023-05-08,12.24,2023-05-08,12.09,1.240694789081889,4.1356492969396195,29.627473806752036,False,-2.6253,9.2203,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,6.759305210918111,1.240694789081889,历史2/3次成功; 当前距低点1.24%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
51,71.46702058464962,67.26160299129596,688157,松井股份,bottom_area,2023-05-08,76.17,2023-05-05,75.53,0.8473454256586793,5.176750959883485,28.69146525679758,False,-0.4444,0.7114,1,1,1,100.0,8.943820224719094,8.943820224719094,7.15265457434132,0.8473454256586793,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
52,70.20225350241013,70.16745972073042,603363,傲农生物,confirmed_rebound,2023-05-08,9.68,2023-04-25,9.31,3.9742212674543413,9.559613319011802,29.576399394856278,True,-0.7179,1.1313,1,1,1,100.0,24.078947368421055,24.078947368421055,4.025778732545659,3.9742212674543413,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-0.72%; 状态confirmed_rebound; 底部已确认
53,70.03092105169955,66.0980097096818,688020,方邦股份,bottom_area,2023-05-08,49.72,2023-05-08,49.23,0.9953280520008166,4.590696729636411,31.70088790233075,False,-2.548,1.3617,3,4,3,75.0,8.668589614213264,9.28211586901762,7.004671947999183,0.9953280520008166,历史3/4次成功; 当前距低点1.00%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
54,69.53854591073788,70.74488498880788,688289,圣湘生物,confirmed_rebound,2023-05-08,18.86,2023-04-26,17.98,4.894327030033365,12.45828698553948,27.058823529411757,False,3.8546,2.1091,1,1,1,100.0,25.182530200451346,25.182530200451346,3.105672969966635,4.894327030033365,历史1/1次成功; 当前距低点4.89%; 最新日涨幅3.85%; 状态confirmed_rebound; 底部未确认
55,69.31158167466266,69.0210988899924,300598,诚迈科技,bottom_area,2023-05-08,43.91,2023-05-08,42.31,3.7816119120775094,4.18340817773575,28.141983695652172,False,-0.4534,2.297,1,1,1,100.0,14.533193814672712,14.533193814672712,4.218388087922491,3.7816119120775094,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
56,59.470559667035026,57.91548100577499,603068,博通集成,bottom_area,2023-05-08,28.96,2023-04-27,28.22,2.6222537207654217,4.8547129695251625,29.290904535204206,False,0.6254,1.2253,1,2,1,50.0,9.807631661936297,9.807631661936297,5.377746279234579,2.6222537207654217,历史1/2次成功; 当前距低点2.62%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
57,55.205134267705844,54.72575145269727,603029,天鹅股份,bottom_area,2023-05-08,19.27,2023-04-25,18.61,3.54648038688877,7.415368081676513,29.640831758034025,True,-0.1554,1.8543,1,2,1,50.0,17.26734803657881,17.26734803657881,4.45351961311123,3.54648038688877,历史1/2次成功; 当前距低点3.55%; 最新日涨幅-0.16%; 状态bottom_area; 底部已确认
58,54.98860388490737,55.57032047223187,002623,亚玛顿,bottom_area,2023-05-08,27.13,2023-04-25,25.95,4.547206165703275,7.013487475915222,30.42895442359249,True,0.9676,0.8134,1,2,1,50.0,11.601884570082444,11.601884570082444,3.4527938342967253,4.547206165703275,历史1/2次成功; 当前距低点4.55%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
59,54.3476072197875,54.00690082827655,002769,普路通,bottom_area,2023-05-08,8.75,2023-04-25,8.44,3.672985781990527,7.464454976303327,28.231292517006807,True,-0.681,0.7627,1,2,1,50.0,14.953271028037399,14.953271028037399,4.327014218009473,3.672985781990527,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
